State,state_code,Labour Overall Index Score,Labour Overall Index Ranking,Wage Dimension Score,Worker Protection Dimension Score,Right to Organize Dimension Score,Wage Dimension Score 2019,Wage Dimension ranking 2019,MIT Living Wage 2019,Minimum Wage 2019,Wage Ratio (Living wage/Minimum wage), Local Control of Min. Wage 2019 (1=Yes),Worker Protection Dimension 2020 Score,Worker Protection Dimension 2020 Ranking,"Family Leave Indicator (Job-protected leave for non-FMLA Workers < 1 year on job_0.5=Yes, 0.25=Yes for Pregnant Workers only)",Family Leave Indicator ( Job-protected leave longer than Federal FMLA),Paid Family Leave (Yes=1),Paid Sick Leave Indicator Law in Place (1=Yes),Flexible Scheduling (yes=1),Reporting Pay (yes=1),Split Shift Pay 2019 (yes=1),Advanced Shift Notice 2019 (yes=1)
New Hampshire,NH,49.36289059,23,9.894227319,38.19444444,100,9.894227319,49,25.5,7.25,0.284313725,0,38.19444444,22,0.25,0,0,0,1,1,0,0
New Jersey,NJ,71.79705545,12,37.61338857,77.77777778,100,37.61338857,24,28.49,10,0.351000351,0,77.77777778,6,0.5,0,1,1,0,1,0,0
New Mexico,NM,56.91178131,18,40.17978837,30.55555556,100,40.17978837,23,25.25,7.5,0.297029703,1,30.55555556,25,0,0,0,0,0,0,0,0
New York,NY,73.60302802,11,51.36463962,69.44444444,100,51.36463962,16,28.9,11.1,0.384083045,0,69.44444444,10,0.5,0,1,0,0,1,1,1
North Carolina,NC,11.81737945,47,13.22991613,22.22222222,0,13.22991613,43,24.8,7.25,0.29233871,0,22.22222222,37,0,0,0,0,0,0,0,0
North Dakota,ND,21.29263895,44,16.65569462,30.55555556,16.66666667,16.65569462,35,24.12,7.25,0.300580431,0,30.55555556,25,0,0,0,0,0,0,0,0
Ohio,OH,54.82124758,20,42.24152052,22.22222222,100,42.24152052,22,23.61,8.55,0.362134689,0,22.22222222,37,0,0,0,0,0,0,0,0
Oklahoma,OK,26.42096103,38,15.37399421,30.55555556,33.33333333,15.37399421,40,24.37,7.25,0.297496922,0,30.55555556,25,0,0,0,0,0,0,0,0
Oregon,OR,82.02931755,6,62.75461933,83.33333333,100,62.75461933,10,27.34,11.25,0.411485004,0,83.33333333,3,0.5,0.5,0,1,1,1,1,1
Pennsylvania,PA,46.08646707,24,16.037179,22.22222222,100,16.037179,36,24.24,7.25,0.299092409,0,22.22222222,37,0,0,0,0,0,0,0,0
Rhode Island,RI,79.77563872,7,62.93802726,76.38888889,100,62.93802726,9,25.49,10.5,0.411926246,0,76.38888889,7,0.5,0.5,1,1,0,1,0,0
South Carolina,SC,14.3839409,46,12.59626715,30.55555556,0,12.59626715,44,24.93,7.25,0.29081428,0,30.55555556,25,0,0,0,0,0,0,0,0
South Dakota,SD,35.7814787,31,51.78888054,22.22222222,33.33333333,51.78888054,15,23.63,9.1,0.385103682,0,22.22222222,37,0,0,0,0,0,0,0,0
Tennessee,TN,21.6379482,43,21.16384461,32.63888889,11.11111111,21.16384461,31,23.28,7.25,0.311426117,0,32.63888889,24,0,0.25,0,0,0,0,0,0
Texas,TX,29.99579375,35,12.20960348,22.22222222,55.55555556,12.20960348,46,25.01,7.25,0.289884046,0,22.22222222,37,0,0,0,0,0,0,0,0
Utah,UT,27.90448629,36,11.49123664,38.88888889,33.33333333,11.49123664,47,25.16,7.25,0.288155803,0,38.88888889,19,0,0,0,0,0,0,0,0
Vermont,VT,79.22499219,8,62.67497656,75,100,62.67497656,11,26.21,10.78,0.411293399,0,75,8,0.5,0,0,1,1,0,0,0
Virginia,VA,1.851851852,51,0,5.555555556,0,0,51,27.83,7.25,0.260510241,0,5.555555556,49,0,0,0,0,0,0,0,0
Washington,WA,89.35855991,3,97.24234639,70.83333333,100,97.24234639,3,27.63,12,0.434310532,1,70.83333333,9,0.25,0.25,1,1,0,0,1,0
West Virginia,WV,44.86536353,25,48.48497949,30.55555556,55.55555556,48.48497949,17,23.2,8.75,0.377155172,0,30.55555556,25,0,0,0,0,0,0,0,0
Wisconsin,WI,24.74652558,39,14.51735453,26.38888889,33.33333333,14.51735453,42,24.54,7.25,0.295436023,0,26.38888889,34,0.5,0,0,0,0,0,0,0
Wyoming,WY,31.25456337,34,15.98591234,22.22222222,55.55555556,15.98591234,37,24.25,7.25,0.298969072,0,22.22222222,37,0,0,0,0,0,0,0,0
