state_code,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act,federal_family_first_act_date,cumulative_cases_at_federal_family_first_act,cumulative_deaths_at_federal_family_first_act,new_cases_since_week_before_federal_family_first_act,new_death_since_week_before_federal_family_first_act,weekly_avg_change_in_avg_distance_after_federal_family_first_act,weekly_avg_change_in_visitation_after_federal_family_first_act,weekly_avg_encounter_after_federal_family_first_act
IN,20200318,39,2,28,2,-0.255529462076932,-0.5598353142903959,-0.5146673245891071,20200306,1,0,1,0,-0.03598277838564997,-0.06817224761286965,0.5283987365250751,20200325,479,14,440,12,-0.35667888858457225,-0.5881089905409433,-0.6291721150647493,20200325,479,14,440,12,-0.35667888858457225,-0.5881089905409433,-0.6291721150647493
KS,20200318,22,1,21,1,-0.27705697476656654,-0.5305025233407136,-0.8937047948244639,20200312,5,1,5,1,-0.11686736428030127,-0.25051943893821965,-0.82096983888022,nan,nan,nan,nan,nan,nan,nan,nan,20200330,373,9,291,7,-0.389459723368482,-0.589486109955725,-0.9263496819410489
KY,20200318,35,1,28,1,-0.2632035548251515,-0.5414436070274465,-0.6823935520430844,20200306,1,0,1,0,-0.04208342390670426,-0.05441423259729229,0.17554334342770753,20200326,248,5,201,3,-0.32767003458608107,-0.5097538586950915,-0.7281435607889001,20200326,248,5,201,3,-0.32767003458608107,-0.5097538586950915,-0.7281435607889001
LA,20200318,280,7,267,7,-0.32762688002497425,-0.5736430431515573,-0.6596509245777896,20200311,13,0,13,0,-0.1124035404750131,-0.1716058864544701,-0.09234867194112205,20200323,1172,34,1035,31,-0.3697541762257532,-0.5854113917829823,-0.6948493698135713,20200323,1172,34,1035,31,-0.3697541762257532,-0.5854113917829823,-0.6948493698135713
MA,20200318,256,0,161,0,-0.4553048857514405,-0.6300290316261339,-0.0400877259650622,20200310,92,0,90,0,-0.2144480096469979,-0.28987017885586475,1.4359811506168803,20200324,1159,11,941,11,-0.518028252957863,-0.662937240571552,-0.24991822578545012,20200324,1159,11,941,11,-0.518028252957863,-0.662937240571552,-0.24991822578545012
MD,20200318,85,1,72,1,-0.3753716131321242,-0.5866125476167421,0.09471713055582717,20200305,3,0,3,0,-0.027054788268415137,-0.06518198227701012,2.9739667930710825,20200323,290,3,251,3,-0.42335789146482483,-0.599931062346357,0.008870657737384343,20200330,1414,15,1124,12,-0.48638048525165944,-0.6606239690441106,-0.3946342700428871
ME,20200318,43,0,43,0,-0.3466198678752011,-0.5445452738613626,-0.9588916728849712,20200315,12,0,12,0,-0.2889989566921544,-0.45332493443994537,-0.9510687808331099,20200325,142,0,99,0,-0.3934673514351304,-0.5458722339943958,-0.9660491146860545,20200401,344,7,202,7,-0.44604223159770723,-0.629923311869578,-0.9822898255299967
MI,20200318,80,1,78,1,-0.38392455264297304,-0.6099846841311464,-0.6725095497413786,20200401,9292,336,6999,293,-0.5218414867379239,-0.6873663318825296,-0.8281822011881246,20200323,1324,16,1270,16,-0.5075376116303952,-0.6936396313630651,-0.7714977373424082,20200324,1791,24,1726,24,-0.510369290475483,-0.6860116599348701,-0.7802031214956316
MN,20200318,77,0,72,0,-0.3810744385457854,-0.5976704195590867,-0.8663503106575389,20200313,14,0,13,0,-0.257892345828076,-0.38562039788302255,-0.7791880202072354,nan,nan,nan,nan,nan,nan,nan,nan,20200328,440,5,302,4,-0.4845767355617494,-0.6309348268023404,-0.9206646557397296
MO,20200318,21,1,20,1,-0.24983648913767592,-0.5586839738333956,-0.7129816296787322,20200313,4,0,4,0,-0.1271344414880503,-0.32192031612729866,-0.48149157076081867,nan,nan,nan,nan,nan,nan,nan,nan,20200406,2722,56,1673,43,-0.3729513158933356,-0.6015738103409457,-0.7776325412648696
