state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-03-21,21,0,20,0,3,10,-7,-7,-0.4102501225050584,-0.5235261119905577,-0.9991934644691558,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-03-21,131,0,119,0,3,8,nan,-14,-0.3291404552275329,-0.6375316889258066,-0.7425065985557806,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-03-21,118,0,109,0,3,10,nan,nan,-0.3189517405568543,-0.6038919612099019,-0.8686900029293226,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-03-21,104,1,92,1,3,10,nan,-10,-0.2897494453907026,-0.5979914724822349,-0.8977844805690498,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-03-21,1544,28,1163,23,3,17,2,2,-0.4709014716199668,-0.7238509032487112,-0.8249280897976474,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-03-21,475,6,372,4,3,10,-5,-5,-0.3872401439100787,-0.6414332192241978,-0.9290892771994866,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-03-21,223,5,203,5,3,11,-2,-2,-0.4461563664349941,-0.6381885559834632,-0.29788323122334515,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-03-21,77,1,61,1,3,10,-4,-11,-0.5771576027350024,-0.7109213854922298,14.889300370222447,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-03-21,45,0,41,0,3,8,-3,-3,-0.3739971757769967,-0.6693123734402404,-0.34359908342874146,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-03-21,764,11,694,8,3,12,nan,-13,-0.3693982125254103,-0.6018686091353934,0.053239390751948834,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
