state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-04-04,169,3,67,2,17,24,7,7,-0.5024030328950726,-0.565503527386411,-0.9994191353810814,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-04-04,1632,44,912,40,17,22,nan,0,-0.3946963343402223,-0.6076261474149466,-0.42326837170171133,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-04-04,743,14,334,9,17,24,nan,nan,-0.4058095060779528,-0.5894682241648405,-0.7814047264574394,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-04-04,2019,53,1246,38,17,24,nan,4,-0.40770951236002584,-0.6505330817056804,-0.8939494193117936,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-04-04,13796,323,8231,202,17,31,16,16,-0.4973460689433865,-0.7093670826259914,-0.8222248923425837,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-04-04,4574,126,2513,82,17,24,9,9,-0.5118685814858834,-0.6973634552283994,-0.9318979359509946,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-04-04,5276,165,3752,132,17,25,12,12,-0.5322516405360018,-0.6794932639982176,-0.4289819152030948,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-04-04,902,21,598,17,17,24,10,3,-0.6656983832563645,-0.8271860687754378,3.9200872490866328,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-04-04,593,14,379,9,17,22,11,11,-0.49891159199500607,-0.7293397304430995,-0.3820984630720873,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-04-04,11537,194,7499,138,17,26,nan,1,-0.5682771612771602,-0.7104740900991879,-0.018096978328947744,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
