state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport
AK,2020-04-15,291,7,67,2,28,35,18,18,-0.4757621388089327,-0.5066243405598159,-0.9992966869377135,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R,18.5,51.6
AL,2020-04-15,4241,123,1743,56,28,33,nan,11,-0.21886663848878032,-0.4879857521307489,-0.4096321777516912,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R,24.3,46.2
AR,2020-04-15,1599,34,522,16,28,35,nan,nan,-0.1808453612740072,-0.4127416539935542,-0.7085589103556627,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R,21.2,34.8
AZ,2020-04-15,3962,142,1236,62,28,35,nan,15,-0.3332621001779151,-0.6191506174435241,-0.8930196464060486,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R,25.2,51.3
CA,2020-04-15,27107,885,8064,379,28,42,27,27,-0.3782832476127329,-0.6685916204408372,-0.8067788370516746,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D,29.4,51.4
CO,2020-04-15,8280,355,2625,163,28,35,20,20,-0.4016936204782247,-0.6428156979360283,-0.9336824161674816,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D,24.9,43.2
CT,2020-04-15,14755,868,5974,533,28,36,23,23,-0.4106062270324825,-0.5944757969694143,-0.4524173816249053,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D,25.0,46.9
DC,2020-04-15,2197,72,757,45,28,35,21,14,-0.6264408898455318,-0.8320809836276974,6.790460104921281,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D,43.6,51.2
DE,2020-04-15,2014,46,898,27,28,33,22,22,-0.3682939393291041,-0.6136419554616334,-0.36741728760476333,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D,25.9,43.1
FL,2020-04-15,22526,613,6836,291,28,37,nan,12,-0.4246291739659378,-0.6501750415114809,0.06065951910903245,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R,27.4,48.6
GA,2020-04-15,14583,569,4379,199,28,32,nan,12,-0.31377478505390993,-0.5295117857195891,-0.37613939967154064,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R,28.5,50.2
HI,2020-04-15,524,9,91,4,28,42,21,21,-0.57777387825996,-0.6912670884440765,-0.6214011784970749,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D,27.5,50.9
IA,2020-04-15,1995,53,850,26,28,29,nan,nan,-0.2735654042305159,-0.5332066207399496,-0.8777608463894618,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R,19.1,30.5
ID,2020-04-15,1507,41,275,22,28,33,21,21,-0.3157479583316057,-0.5496369728950058,-0.9729833567536812,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R,20.3,56.3
IL,2020-04-15,24593,958,9515,494,28,37,25,25,-0.37477122702671856,-0.6316776164725696,-0.630185003520297,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D,29.1,49.6
IN,2020-04-15,8955,436,3012,233,28,40,21,21,-0.3082764913987877,-0.5364397338527161,-0.6362804276029145,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R,23.0,40.1
KS,2020-04-15,1501,76,446,38,28,34,nan,16,-0.28293995045786263,-0.4917083369617603,-0.9106859692970198,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R,19.7,42.4
KY,2020-04-15,2295,124,902,51,28,40,20,20,-0.306511822068798,-0.496523603653524,-0.7368352797154682,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R,23.5,47.5
LA,2020-04-15,21951,1103,4921,451,28,35,23,23,-0.3017600914663708,-0.5145899376506793,-0.623028254003601,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R,25.4,42.1
MA,2020-04-15,29918,1108,13128,675,28,36,22,22,-0.4976615414091589,-0.6574858395732847,-0.4806894211467346,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D,30.2,48.5
MD,2020-04-15,10032,349,4503,225,28,41,23,16,-0.43238708689369626,-0.6246332453769717,-0.3031823363577486,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D,30.7,49.9
ME,2020-04-15,770,24,233,10,28,31,21,14,-0.3713770871856773,-0.5136924894161046,-0.9765676200451316,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D,22.9,38.2
MI,2020-04-15,27893,1919,7673,960,28,14,23,22,-0.4689494350572712,-0.6600726682607088,-0.8279323937536723,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R,24.4,43.2
MN,2020-04-15,1809,87,655,48,28,33,nan,18,-0.39858683500314773,-0.5889765940783631,-0.9166156333127368,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D,23.7,37.9
MO,2020-04-15,4895,164,1568,78,28,33,nan,9,-0.2668645179025557,-0.5097363060519509,-0.7335900876727967,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R,23.8,49.1
MS,2020-04-15,3360,122,1357,55,28,32,12,12,-0.2121161379336036,-0.4637818240204951,-0.7372587432803219,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R,23.0,38.6
MT,2020-04-15,404,7,72,1,28,34,18,18,-0.37553585386710053,-0.5704018578752251,-0.9948260285194154,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R,17.3,33.9
NC,2020-04-15,5123,128,1700,67,28,36,16,16,-0.2959196047063332,-0.5032599201031445,-0.4938038549276736,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R,24.4,41.8
ND,2020-04-15,365,9,114,5,28,33,nan,nan,-0.3385477302564849,-0.5469244019357904,-0.9855964495131346,Trade Transportation and Utilities,92.8,No,No,No,2.3,4.2,61843,AllR,1,R,18.6,32.6
NE,2020-04-15,994,22,456,8,28,33,nan,nan,-0.3059373009980716,-0.504524903307415,-0.936523069474306,Trade Transportation and Utilities,198.6,No,No,No,3.9,3.6,59970,AllR,1,R,18.8,33.6
NH,2020-04-15,1139,32,351,14,28,33,18,18,-0.4058198496271328,-0.535931315622793,-0.8715469129642434,Trade Transportation and Utilities,138.5,No,No,No,2.6,3.8,73381,AllD,5,D,24.4,33.7
NJ,2020-04-15,71030,3156,23593,1652,28,37,25,25,-0.4940209486142352,-0.6859823811356702,0.30576906791839864,Trade Transportation and Utilities,893.7,Yes,Yes,Yes,3.8,4.8,80088,AllD,5,D,28.7,50.2
NM,2020-04-15,1484,36,619,20,28,35,22,22,-0.3363812031754644,-0.5800222850321246,-0.983189451992948,Government,189.7,No,No,No,4.8,3.7,46744,MostD,4,D,22.1,36.9
NV,2020-04-15,3212,137,894,57,28,34,nan,15,-0.4832497744496213,-0.7261649350269505,-0.955485199199463,Leisure and Hospitality,356.4,No,No,Yes,3.6,3.6,58003,MostD,4,D,23.9,57.2
NY,2020-04-15,217130,14937,65859,6799,28,39,24,24,-0.5085925214077731,-0.6934605129922587,-0.5750910852024941,Government,"1,488.10",Yes,Yes,Yes,3.8,3.6,64894,AllD,5,D,35.0,53.1
OH,2020-04-15,7791,361,2642,168,28,37,22,22,-0.3354162150223189,-0.5313476570858882,-0.4598338694899765,Trade Transportation and Utilities,"1,028.40",No,No,No,4.1,3.2,54021,Tie,3,R,23.5,43.0
OK,2020-04-15,2263,123,740,44,28,13,14,nan,-0.21154307012583007,-0.4502141582913808,-0.7502069545317482,Government,356.6,No,No,No,3.3,3.3,50051,AllR,1,R,21.5,30.2
OR,2020-04-15,1663,58,424,20,28,38,nan,23,-0.3038317381482051,-0.5912076333574846,-0.9546241816357864,Trade Transportation and Utilities,359.3,Yes,Yes,Yes,3.3,4.7,60212,AllD,5,D,24.4,46.1
PA,2020-04-15,26804,833,10390,520,28,40,23,14,-0.3855317828723173,-0.6089898923719214,-0.7033713385109064,Education and Health Services,1307,No,No,No,4.7,3.4,59195,MostD,4,R,26.4,45.1
RI,2020-04-15,3529,87,2079,52,28,37,nan,18,-0.4271736288802949,-0.6277108548885731,-0.3431768137157315,Education and Health Services,110.7,Yes,Yes,Yes,3.1,2.5,19343,AllD,5,D,23.9,44.9
SC,2020-04-15,3656,107,1104,44,28,33,nan,8,-0.2695294420536972,-0.4963039841444514,-0.4240334530651163,Trade Transportation and Utilities,410.6,No,No,No,2.4,3.3,63870,AllR,1,R,24.4,34.4
SD,2020-04-15,1167,6,774,0,28,13,nan,nan,-0.3554153315672744,-0.5266184041865005,-0.9855984988848956,Trade Transportation and Utilities,86.3,No,No,No,3.4,3.4,50570,AllR,1,R,16.6,29.8
TN,2020-04-15,5878,137,1632,54,28,34,14,13,-0.27316934347755073,-0.4698059975432625,-0.41337499921500975,Trade Transportation and Utilities,653.1,No,No,No,3.3,3.5,56521,AllR,1,R,25.3,40.9
