state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-03-11,0,0,0,0,-7,0,-17,-17,0.06711988053396513,-0.0776536047092704,-0.9967861780626108,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-03-11,0,0,0,0,-7,-2,nan,-24,0.044009336793802686,-0.117645365171531,0.933661631192285,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-03-11,1,0,1,0,-7,0,nan,nan,-0.027250426568906545,-0.11064826510426927,-0.10572847968238408,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-03-11,9,0,7,0,-7,0,nan,-20,0.012818084276385968,-0.17038227300761455,-0.5099380725525489,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-03-11,202,4,147,3,-7,7,-8,-8,-0.012722834362508156,-0.12815615495047636,0.5538436937392437,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-03-11,34,0,34,0,-7,0,-15,-15,0.0648864539690177,-0.1146120432096136,-0.5217881831903562,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-03-11,3,0,3,0,-7,1,-12,-12,-0.052236167965767376,-0.19584578564900806,2.6181890932247023,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-03-11,10,0,10,0,-7,0,-14,-21,0.22781037390518416,-0.13641270833230004,250.07152465762428,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-03-11,1,0,1,0,-7,-2,-13,-13,-0.02176571251095968,-0.1682715098631591,2.3046763712189806,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-03-11,26,2,23,2,-7,2,nan,-23,0.04290137641226566,-0.19111734063813973,6.0499232968836605,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-03-11,31,0,29,0,-7,-3,nan,-23,0.008874354477352598,-0.15719197982063782,1.6939236985309083,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-03-11,2,0,2,0,-7,7,-14,-14,0.1455096350368221,-0.1378707024657551,1.4079871792479444,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-03-11,14,0,14,0,-7,-6,nan,nan,0.02554831124998901,-0.11723123378637244,-0.4434929143238243,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-03-11,0,0,0,0,-7,-2,-14,-14,-0.08303678995915116,-0.1492128058941582,-0.8916191404493626,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
IL,2020-03-11,25,0,21,0,-7,2,-10,-10,0.012463159570173028,-0.14656280406656233,1.630166485743722,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D
IN,2020-03-11,11,0,11,0,-7,5,-14,-14,0.03308214694555799,-0.16898075811170438,0.699139584850421,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R
KS,2020-03-11,1,0,1,0,-7,-1,nan,-19,0.13188200890965546,-0.07277931090501928,-0.6422458574676819,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R
KY,2020-03-11,7,0,7,0,-7,5,-15,-15,0.016400711922078166,-0.15449182024769406,0.19411251115203765,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R
LA,2020-03-11,13,0,13,0,-7,0,-12,-12,0.04713370912373335,-0.10844772597199533,0.5859542695165809,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R
MA,2020-03-11,95,0,93,0,-7,1,-13,-13,-0.06445195410269007,-0.2065831080874946,3.747965868521232,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D
MD,2020-03-11,13,0,13,0,-7,6,-12,-19,-0.0025703592975540195,-0.15792381141874687,3.22111350708131,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D
ME,2020-03-11,0,0,0,0,-7,-4,-14,-21,-0.07620786419567288,-0.18164323929448326,-0.8654063553033597,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D
MI,2020-03-11,2,0,2,0,-7,-21,-12,-13,0.02205808985999632,-0.15030461403580814,0.4502032837228389,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R
MN,2020-03-11,5,0,5,0,-7,-2,nan,-17,0.013490355577012014,-0.1832610436966776,-0.4477570668947748,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D
MO,2020-03-11,1,0,1,0,-7,-2,nan,-26,0.0637868413070781,-0.10127824705792372,0.17400800621475554,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R
MS,2020-03-11,1,0,1,0,-7,-3,-23,-23,0.1013475031739488,-0.09677779989144462,-0.3225314284231965,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R
MT,2020-03-11,0,0,0,0,-7,-1,-17,-17,-0.07505608498174605,-0.06269552136811507,-0.97475357954772,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R
