state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-04-28,349,7,22,0,41,48,31,31,-0.3652789193399225,-0.263706160493754,-0.9987442524408692,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-04-28,6750,242,1423,56,41,46,nan,24,-0.17077384150606184,-0.3988274408710825,-0.32106371289131885,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-04-28,3127,57,865,14,41,48,nan,nan,-0.2699269739514363,-0.3413743793924944,-0.6633493517374365,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-04-28,6948,297,1697,84,41,48,nan,28,-0.3196147667189221,-0.5265138988152829,-0.852436260506426,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-04-28,46570,1884,10726,568,41,55,40,40,-0.33545858858649696,-0.5702364822736711,-0.680038826663719,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-04-28,14239,734,3792,250,41,48,33,33,-0.34639701185335053,-0.5116322617673784,-0.8841871462191933,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-04-28,26312,2089,5952,666,41,49,36,36,-0.3697343894339365,-0.5263950887619101,-0.0819295012310286,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-04-28,3994,190,896,78,41,48,34,27,-0.5476876342802438,-0.8018457775635944,15.925926002351954,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-04-28,4575,137,1644,55,41,46,35,35,-0.3171487009948827,-0.5509011004989408,-0.05530447643669534,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-04-28,32838,1170,4977,304,41,50,nan,25,-0.35688763333731616,-0.5696871810919848,0.5565458816345261,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-04-28,23607,1022,4418,212,41,45,nan,25,-0.2450999231227147,-0.4066933469747796,-0.14902889035430245,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-04-28,602,16,22,4,41,55,34,34,-0.5715872579612946,-0.6410022830117755,-0.6749363409823674,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-04-28,6376,136,2735,53,41,42,nan,nan,-0.30636302260276943,-0.4233839308632065,-0.8241457752961235,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-04-28,1952,60,293,9,41,46,34,34,-0.28517163933875106,-0.36137708561513976,-0.9525247286662976,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
IL,2020-04-28,48102,2132,15043,653,41,50,38,38,-0.3870461333990213,-0.5354886423633822,-0.3913244582825616,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D
IN,2020-04-28,16783,992,4686,362,41,53,34,34,-0.30716907288287976,-0.3956827875779827,-0.39004928127475424,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R
KS,2020-04-28,3601,127,1487,20,41,47,nan,29,-0.3305151211758143,-0.3908554785915109,-0.8708200701918554,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R
KY,2020-04-28,4375,231,1182,59,41,53,33,33,-0.2682465346763909,-0.377307779949356,-0.6357380325152567,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R
LA,2020-04-28,27286,1758,2432,353,41,48,36,36,-0.33116845998655264,-0.459735348611188,-0.5580498647840195,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R
MA,2020-04-28,58302,3153,17103,1192,41,49,35,35,-0.4604252408315897,-0.5986258181668898,-0.10062038996924184,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D
MD,2020-04-28,20113,1016,5920,432,41,54,36,29,-0.3928690632558335,-0.5728180972869583,0.07559609505333853,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D
