state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport
AK,2020-05-06,370,8,17,1,49,56,39,39,-0.2827841501976947,-0.06191121986800763,-0.9976063426631624,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R,18.5,51.6
AL,2020-05-06,8691,343,1766,81,49,54,nan,32,-0.06843619078389099,-0.19269432302220768,0.4697842898977447,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R,24.3,46.2
AR,2020-05-06,3611,87,404,28,49,56,nan,nan,-0.11738854588349155,-0.1472708269305755,-0.3711842181965005,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R,21.2,34.8
AZ,2020-05-06,9707,426,2505,118,49,56,nan,36,-0.2823507914187204,-0.4694425285283729,-0.7665929774676363,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R,25.2,51.3
CA,2020-05-06,60787,2478,11883,517,49,63,48,48,-0.3061501765928077,-0.5072624311969071,-0.5864758932617102,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D,29.4,51.4
CO,2020-05-06,17720,919,3040,155,49,56,41,41,-0.2910196163399399,-0.41266137783621537,-0.8155030513960736,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D,24.9,43.2
CT,2020-05-06,30995,2718,4228,550,49,57,44,44,-0.3886072123565253,-0.5214561995588263,0.21593212622598945,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D,25.0,46.9
DC,2020-05-06,5461,277,1355,72,49,56,42,35,-0.5665473750089002,-0.751335426369277,20.250999581062352,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D,43.6,51.2
DE,2020-05-06,5778,193,1123,49,49,54,43,43,-0.3650832954263472,-0.5101453986624568,0.3060205509855709,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D,25.9,43.1
FL,2020-05-06,37994,1538,4809,322,49,58,nan,33,-0.3036576462035325,-0.4632845491058116,1.70318901696227,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R,27.4,48.6
