state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-04-02,146,2,77,2,15,22,5,5,-0.548936098836383,-0.4812501005038781,-0.999421933493538,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-04-02,1270,32,732,29,15,20,nan,-2,-0.23818103322707196,-0.5376315318875783,-0.4626299175923746,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-04-02,683,12,333,9,15,22,nan,nan,-0.2406860690372172,-0.4814605559032527,-0.7468723295913163,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-04-02,1600,35,1092,27,15,22,nan,2,-0.3751336261714221,-0.6249301764727828,-0.910554193729128,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-04-02,11190,247,7130,165,15,29,14,14,-0.4065111457502627,-0.6431089601548509,-0.8206678733040363,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-04-02,3728,96,2296,72,15,22,7,7,-0.483856017739447,-0.6759983503519084,-0.9483995929271246,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-04-02,3824,112,2812,91,15,23,10,10,-0.4453444490588909,-0.6333526709377739,-0.5040833858735504,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-04-02,653,12,422,9,15,22,8,1,-0.6308793066597966,-0.7765513613380931,6.833186161682709,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-04-02,393,12,250,11,15,20,9,9,-0.3746863156634205,-0.6225987433384498,-0.3995686876123343,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-04-02,9000,144,6523,115,15,24,nan,-1,-0.4168590164896673,-0.6191264985175855,0.2058446255775046,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-04-02,5444,176,3803,120,15,19,nan,-1,-0.2885365510423482,-0.5036698355805849,-0.2810138028747752,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-04-02,283,2,177,2,15,29,8,8,-0.6165851464369866,-0.6670035262705046,-0.6686102466352393,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-04-02,614,11,435,10,15,16,nan,nan,-0.27058683689746305,-0.5381486363158842,-0.8824725137361414,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-04-02,890,9,701,6,15,20,8,8,-0.3526123237594108,-0.5778347216121008,-0.977930268685812,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
IL,2020-04-02,7695,165,5157,139,15,24,12,12,-0.3680528759080576,-0.6097232765755369,-0.6231209275548713,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D
IN,2020-04-02,3040,78,2384,60,15,27,8,8,-0.3026745751429157,-0.5542477807226888,-0.6531561701638516,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R
KS,2020-04-02,554,14,383,11,15,21,nan,3,-0.34473014307198324,-0.575987551866307,-0.9238137115615556,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R
KY,2020-04-02,747,34,499,29,15,27,7,7,-0.2989938025371072,-0.5265161320138377,-0.7608211562020929,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R
LA,2020-04-02,9152,310,6847,227,15,22,10,10,-0.3730805122619684,-0.5956879161505255,-0.7091900731804524,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R
MA,2020-04-02,8966,154,6549,129,15,23,9,9,-0.5059536428238098,-0.6651067606373429,-0.525012005104072,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D
MD,2020-04-02,2331,36,1750,32,15,28,10,3,-0.44734184361924395,-0.64181705781853,-0.38903656430260536,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D
ME,2020-04-02,376,7,221,7,15,18,8,1,-0.3984833845623704,-0.6533482739763263,-0.98448589755389,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D
