state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport
AK,2020-02-26,0,0,0,0,-21,-14,-31,-31,0.0736447027483981,0.029410169558123575,-0.996641223544464,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R,18.5,51.6
AL,2020-02-26,0,0,0,0,-21,-16,nan,-38,0.06710786508886417,0.030593192290501607,1.2320544519045016,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R,24.3,46.2
AR,2020-02-26,0,0,0,0,-21,-14,nan,nan,0.062172855010990236,0.019538343149106453,-0.031816788255928374,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R,21.2,34.8
AZ,2020-02-26,1,0,0,0,-21,-14,nan,-34,0.04496717897106072,0.02044237056293054,-0.40607179144391536,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R,25.2,51.3
CA,2020-02-26,26,0,19,0,-21,-7,-22,-22,-0.01627967637243244,-0.24566286410936264,-0.10426419046368228,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D,29.4,51.4
CO,2020-02-26,0,0,0,0,-21,-14,-29,-29,0.06044293063042105,0.023449282198171773,-0.5568416293716552,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D,24.9,43.2
CT,2020-02-26,0,0,0,0,-21,-13,-26,-26,0.01967143212490181,-0.00510889100326841,3.156384770335463,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D,25.0,46.9
DC,2020-02-26,0,0,0,0,-21,-14,-28,-35,0.1009307668501148,-0.0055797759161992045,291.8822943514651,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D,43.6,51.2
DE,2020-02-26,0,0,0,0,-21,-16,-27,-27,0.026981014265357726,-0.0112753626914918,2.438685592092184,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D,25.9,43.1
FL,2020-02-26,0,0,0,0,-21,-12,nan,-37,-9.690913454379711e-05,-0.0029216046026868977,6.2477787593017196,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R,27.4,48.6
GA,2020-02-26,0,0,0,0,-21,-17,nan,-37,0.04387511267084705,0.01126908129940434,2.1429056899998584,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R,28.5,50.2
HI,2020-02-26,0,0,0,0,-21,-7,-28,-28,-0.04532588079027441,0.018121808797364504,1.4275906409995127,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D,27.5,50.9
