state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport
AK,2020-03-24,42,0,36,0,6,13,-4,-4,-0.4486989722655957,-0.39476674147298296,-0.9987220114484688,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R,18.5,51.6
AL,2020-03-24,242,0,203,0,6,11,nan,-11,-0.21582515334676888,-0.4814210987674673,-0.4893033497621582,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R,24.3,46.2
AR,2020-03-24,231,2,209,2,6,13,nan,nan,-0.2006176315870921,-0.451809234557281,-0.7631861953531387,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R,21.2,34.8
AZ,2020-03-24,326,6,306,6,6,13,nan,-7,-0.2583730391270651,-0.5068548202574059,-0.8384050950258122,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R,25.2,51.3
CA,2020-03-24,2644,52,1912,38,6,20,5,5,-0.3631099125073795,-0.599730442160654,-0.6863147770929178,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D,29.4,51.4
CO,2020-03-24,912,11,729,8,6,13,-2,-2,-0.3035581901146176,-0.5181439537037641,-0.8906836786420832,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D,24.9,43.2
CT,2020-03-24,618,12,550,12,6,14,1,1,-0.3929123076386053,-0.589387471640674,-0.1683847498936718,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D,25.0,46.9
DC,2020-03-24,137,2,106,2,6,13,-1,-8,-0.5844001353445025,-0.7082407076344304,23.924962909184035,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D,43.6,51.2
DE,2020-03-24,104,0,88,0,6,11,0,0,-0.337414371148722,-0.6120329715479196,-0.24476973973008756,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D,25.9,43.1
FL,2020-03-24,1467,19,1257,13,6,15,nan,-10,-0.3381296658159764,-0.5538411707826949,0.5300477293655377,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R,27.4,48.6
GA,2020-03-24,1095,38,953,37,6,10,nan,-10,-0.27538742739808914,-0.5209395004989374,-0.3756001102042933,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R,28.5,50.2
