state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-04-13,275,6,86,2,26,33,16,16,-0.4531891920157811,-0.4204567783700188,-0.9994744781328424,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-04-13,3805,104,1800,51,26,31,nan,9,-0.2585550264689107,-0.4632079265493829,-0.5417313714498011,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-04-13,1475,30,548,14,26,33,nan,nan,-0.21282657835975785,-0.4153022799548463,-0.7709913271528414,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-04-13,3702,122,1237,55,26,33,nan,13,-0.38800149934205497,-0.5867079863876904,-0.9162888224041345,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-04-13,24334,725,8050,339,26,40,25,25,-0.417916061928444,-0.6581362974592361,-0.842267670713351,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-04-13,7691,308,2519,158,26,33,18,18,-0.5000228806077289,-0.6693308438675153,-0.958570508180826,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-04-13,13381,602,6475,396,26,34,21,21,-0.5130669475770729,-0.7070250622853621,-0.7073015001423792,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-04-13,1955,52,858,28,26,33,19,12,-0.6590346158354106,-0.8145730497762605,4.983238810416362,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-04-13,1761,41,978,26,26,31,20,20,-0.5021810931294826,-0.6819918737162826,-0.6142145729622746,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-04-13,21011,498,7390,245,26,35,nan,10,-0.4637765496704345,-0.632875801252899,-0.09288673622809017,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-04-13,13125,479,5567,185,26,30,nan,10,-0.3861138892870952,-0.5200794961672937,-0.5200878929037208,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-04-13,502,9,117,4,26,40,19,19,-0.6072341470327984,-0.6207421453010391,-0.6977271020922379,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-04-13,1710,44,764,19,26,27,nan,nan,-0.31799255651228386,-0.5107161441476106,-0.9001765710974347,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
