state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-03-04,0,0,0,0,-14,-7,-24,-24,-0.1072421129479008,0.05001685958780154,-0.9966907997574599,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-03-04,0,0,0,0,-14,-9,nan,-31,-0.04025915753510451,-0.07673800691696571,0.9057447230795544,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-03-04,0,0,0,0,-14,-7,nan,nan,0.009511969443626936,-0.025124703410132825,-0.12556688109152725,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-03-04,2,0,1,0,-14,-7,nan,-27,-0.0009431522717834538,-0.025760370411546725,-0.4576361832366552,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-03-04,55,1,29,1,-14,0,-15,-15,-0.01744245145104754,0.019986260907650683,0.5222356041100393,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-03-04,0,0,0,0,-14,-7,-22,-22,0.017746368442988256,-0.0001043544920732369,-0.5958753029265104,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-03-04,0,0,0,0,-14,-6,-19,-19,-0.02075620352984489,-0.03481631940899702,2.6394102512785738,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-03-04,0,0,0,0,-14,-7,-21,-28,0.0051742971520663105,0.0036586797340885453,296.296896056353,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-03-04,0,0,0,0,-14,-9,-20,-20,-0.007817672791974034,-0.011867667203221782,2.053012501263616,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-03-04,3,0,3,0,-14,-5,nan,-30,0.0004601683577429762,-0.04634871088640948,5.089632597293373,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-03-04,2,0,2,0,-14,-10,nan,-30,-0.04569502258142509,-0.08858012521156983,1.6319854498583215,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-03-04,0,0,0,0,-14,0,-21,-21,-0.10552816216794864,-0.04782880536217536,1.1721061885163837,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-03-04,0,0,0,0,-14,-13,nan,nan,0.003896509236595183,0.01632130198472119,-0.4677706597918782,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-03-04,0,0,0,0,-14,-9,-21,-21,-0.06128237468396065,-0.017532947694326218,-0.8996833013326867,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
IL,2020-03-04,4,0,2,0,-14,-5,-17,-17,0.0199740975624668,-0.0013933420398813902,1.5600842889678708,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D
IN,2020-03-04,0,0,0,0,-14,-2,-21,-21,0.02835630979828443,0.023778585370549797,0.738567652429341,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R
KS,2020-03-04,0,0,0,0,-14,-8,nan,-26,0.028924413967337456,0.01757109362652195,-0.6305766926911952,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R
KY,2020-03-04,0,0,0,0,-14,-2,-22,-22,0.0031587297347676125,-0.0030510331976683104,0.2472055018667909,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R
LA,2020-03-04,0,0,0,0,-14,-7,-19,-19,-0.06644650990930236,-0.06160319103973794,0.37947836682020064,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R
MA,2020-03-04,2,0,1,0,-14,-6,-20,-20,-0.04366663525830846,-0.07002008308145562,3.7109704529339447,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D
MD,2020-03-04,0,0,0,0,-14,-1,-19,-26,-0.006670905699996313,-0.024428790514705114,3.2559413319747255,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D
ME,2020-03-04,0,0,0,0,-14,-11,-21,-28,-0.06787135246729856,-0.05485132506109211,-0.8843417885442206,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D
MI,2020-03-04,0,0,0,0,-14,-28,-19,-20,0.024241527532108054,0.008426682198400965,0.2457400417043192,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R
MN,2020-03-04,0,0,0,0,-14,-9,nan,-24,0.0232764352788588,-0.004274124947577446,-0.4340576147980633,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D
MO,2020-03-04,0,0,0,0,-14,-9,nan,-33,0.029284118938009907,0.005586289222537296,0.06249758825862627,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R
MS,2020-03-04,0,0,0,0,-14,-10,-30,-30,-0.03885670688660128,-0.044896470407997935,-0.16061524234764235,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R
MT,2020-03-04,0,0,0,0,-14,-8,-24,-24,-0.051424491453965764,0.019765064598090836,-0.9775077191314916,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R
NC,2020-03-04,1,0,1,0,-14,-6,-26,-26,0.013888850634696059,-0.03342055208109638,1.0776594033092262,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R
