state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-04-25,337,7,25,0,38,45,28,28,-0.34588791783786504,-0.3810554772613104,-0.9984002388675888,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-04-25,6213,213,1490,66,38,43,nan,21,-0.3429110025028723,-0.4961319775981869,-0.15358808792808154,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-04-25,2909,48,1132,10,38,45,nan,nan,-0.3169554025811228,-0.3949930801162318,-0.536037046946926,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-04-25,6280,275,1561,94,38,45,nan,25,-0.4046226872657599,-0.5610077083418532,-0.7915232246622291,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-04-25,42590,1692,11761,546,38,52,37,37,-0.4826188678939358,-0.6251813445578329,-0.5795467157100737,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-04-25,12967,670,3534,261,38,45,30,30,-0.4736149141730432,-0.5759754731379912,-0.8451687898988717,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-04-25,24582,1862,7032,776,38,46,33,33,-0.4575445696949347,-0.5758542845627407,0.2660601193690473,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-04-25,3699,165,1033,74,38,45,31,24,-0.6247807574174127,-0.7730471166479773,15.755044348697188,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-04-25,3576,112,1038,45,38,43,32,32,-0.4609434438148061,-0.6449568459404063,0.37227601343303385,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-04-25,30831,1054,5347,307,38,47,nan,22,-0.5135067321043111,-0.6168133835351142,0.9315605406019728,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-04-25,22225,897,5211,227,38,42,nan,22,-0.41293830495298417,-0.5028195706247741,0.12937027731371975,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-04-25,597,14,29,5,38,52,31,31,-0.6997352693244854,-0.6603832280788663,-0.5816813450525129,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-04-25,5109,112,2596,38,38,39,nan,nan,-0.4204775321852747,-0.5244938972183173,-0.7262620829088653,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-04-25,1887,56,310,12,38,43,31,31,-0.3461780742818145,-0.4501295377456428,-0.9393891882897326,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
IL,2020-04-25,41777,1884,12617,612,38,47,35,35,-0.5172676272280629,-0.635767806267152,-0.3084971001287564,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D
IN,2020-04-25,14395,785,3754,240,38,50,31,31,-0.4781824805931209,-0.5316676159027341,-0.16306284968354526,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R
KS,2020-04-25,3090,119,1271,33,38,44,nan,26,-0.4368405755635221,-0.4813845007221189,-0.8056156074461843,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R
