state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-04-20,319,7,44,1,33,40,23,23,-0.43460211355582745,-0.6015813620386123,-0.9994621736690577,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-04-20,5078,164,1273,60,33,38,nan,16,-0.2140174536634328,-0.5206797861219276,-0.4484655279285207,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-04-20,1971,42,496,12,33,40,nan,nan,-0.2116477744519043,-0.4753654947874514,-0.7366567996155373,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-04-20,5064,191,1362,69,33,40,nan,20,-0.3696498514077809,-0.683759199776145,-0.911905715210208,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-04-20,33862,1223,9528,498,33,47,32,32,-0.3996439249587504,-0.7565347273661813,-0.8442753331968131,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-04-20,10106,448,2415,140,33,40,25,25,-0.4146756111435679,-0.6667010816628752,-0.936316665133634,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-04-20,19815,1331,6434,729,33,41,28,28,-0.4359082376736292,-0.6523493627008325,-0.4797251412383364,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-04-20,2927,105,972,53,33,40,26,19,-0.5476306880038487,-0.8123740985068659,7.632254329625283,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-04-20,2745,72,984,31,33,38,27,27,-0.3921101721257955,-0.6435963088549225,-0.3933197189059757,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-04-20,27050,822,6039,324,33,42,nan,17,-0.4751947416909146,-0.686176696137307,0.01496060026800361,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-04-20,18447,767,5322,288,33,37,nan,17,-0.3426027619933225,-0.5610587961120613,-0.4196857553193164,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-04-20,578,10,76,1,33,47,26,26,-0.6148856058992662,-0.7760438696306725,-0.7347291000586683,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-04-20,3175,79,1465,35,33,34,nan,nan,-0.30995147953679786,-0.5671493292153762,-0.8840389815093854,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-04-20,1638,48,185,15,33,38,26,26,-0.3368603008513669,-0.5899240894900153,-0.9744006927878116,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
IL,2020-04-20,31508,1359,9483,559,33,42,30,30,-0.3936729462726796,-0.6420207213852097,-0.6055600997826931,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D
IN,2020-04-20,11686,569,3450,219,33,45,26,26,-0.33269436207501096,-0.5288852985210923,-0.6019034832220749,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R
KS,2020-04-20,2030,101,648,38,33,39,nan,21,-0.3540072434370833,-0.5488014779877698,-0.9155775571068676,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R
KY,2020-04-20,3050,155,1002,49,33,45,25,25,-0.29465473429246913,-0.5103064050271802,-0.7371787145540291,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R
LA,2020-04-20,24523,1328,3507,444,33,40,28,28,-0.31052820833516337,-0.5718272345228903,-0.6551976184056434,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R
MA,2020-04-20,39643,1809,12776,965,33,41,27,27,-0.4850880579792047,-0.6700588549380846,-0.484413995081692,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D
MD,2020-04-20,13684,516,4748,254,33,46,28,21,-0.4240941203211944,-0.6497647896347682,-0.31347299226609715,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D
ME,2020-04-20,875,35,177,16,33,36,26,19,-0.3546791381063932,-0.4926265299492735,-0.976554624914078,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D
MI,2020-04-20,31927,2466,6440,865,33,19,28,27,-0.4745118049990886,-0.6602017662031158,-0.8108228061779349,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R
MN,2020-04-20,2470,143,820,73,33,38,nan,23,-0.4258755346691612,-0.6179917761167874,-0.9177361367582884,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D
MO,2020-04-20,5807,201,1419,65,33,38,nan,14,-0.3077689005475769,-0.5638407008202699,-0.7580974448937075,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R
MS,2020-04-20,4512,169,1570,71,33,37,17,17,-0.22280120910855186,-0.5063588245686519,-0.7521210453023827,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R
MT,2020-04-20,433,12,39,5,33,39,23,23,-0.3738618543414441,-0.5783817437823575,-0.994685268302068,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R
NC,2020-04-20,6764,187,1976,96,33,41,21,21,-0.364962973921753,-0.5640255744665005,-0.5513242320816556,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R
ND,2020-04-20,627,13,296,4,33,38,nan,nan,-0.3942951842092177,-0.6166768806200479,-0.9862572331245316,Trade Transportation and Utilities,92.8,No,No,No,2.3,4.2,61843,AllR,1,R
NE,2020-04-20,1646,33,776,14,33,38,nan,nan,-0.3430235190198153,-0.5439717567465459,-0.9390380547575184,Trade Transportation and Utilities,198.6,No,No,No,3.9,3.6,59970,AllR,1,R
NH,2020-04-20,1447,42,427,19,33,38,23,23,-0.4311450263797279,-0.5599862620022447,-0.8733687048523107,Trade Transportation and Utilities,138.5,No,No,No,2.6,3.8,73381,AllD,5,D
NJ,2020-04-20,88806,4377,24222,1934,33,42,30,30,-0.4852857061733982,-0.7192137719359811,0.3011629932318143,Trade Transportation and Utilities,893.7,Yes,Yes,Yes,3.8,4.8,80088,AllD,5,D
NM,2020-04-20,1971,58,626,27,33,40,27,27,-0.3930349745193156,-0.6480152329946093,-0.9853118290367946,Government,189.7,No,No,No,4.8,3.7,46744,MostD,4,D
NV,2020-04-20,3830,163,794,49,33,39,nan,20,-0.5361498009056319,-0.7889806999170099,-0.9635381414040984,Leisure and Hospitality,356.4,No,No,Yes,3.6,3.6,58003,MostD,4,D
NY,2020-04-20,251608,18412,53635,5414,33,44,29,29,-0.4963524196504066,-0.7056321310437519,-0.5556685945335437,Government,"1,488.10",Yes,Yes,Yes,3.8,3.6,64894,AllD,5,D
OH,2020-04-20,12919,509,5944,235,33,42,27,27,-0.34347812125176297,-0.5427610446550833,-0.4320398530210088,Trade Transportation and Utilities,"1,028.40",No,No,No,4.1,3.2,54021,Tie,3,R
OK,2020-04-20,2680,143,611,45,33,18,19,nan,-0.2611743437123293,-0.5004257340664047,-0.7691397205256787,Government,356.6,No,No,No,3.3,3.3,50051,AllR,1,R
OR,2020-04-20,1956,75,372,22,33,43,nan,28,-0.33263414513745865,-0.6548512079175615,-0.9609501628139572,Trade Transportation and Utilities,359.3,Yes,Yes,Yes,3.3,4.7,60212,AllD,5,D
PA,2020-04-20,34005,1366,9710,803,33,45,28,19,-0.4044108745460885,-0.6582920708652332,-0.7208010705102627,Education and Health Services,1307,No,No,No,4.7,3.4,59195,MostD,4,R
RI,2020-04-20,5090,155,2114,82,33,42,nan,23,-0.4437971075661733,-0.6530684968847064,-0.3637365746101711,Education and Health Services,110.7,Yes,Yes,Yes,3.1,2.5,19343,AllD,5,D
SC,2020-04-20,4439,124,1000,37,33,38,nan,13,-0.32734420421629423,-0.5540461704707712,-0.4816177082882658,Trade Transportation and Utilities,410.6,No,No,No,2.4,3.3,63870,AllR,1,R
SD,2020-04-20,1685,7,818,1,33,18,nan,nan,-0.3936514551262053,-0.5897160392053032,-0.985878734839995,Trade Transportation and Utilities,86.3,No,No,No,3.4,3.4,50570,AllR,1,R
TN,2020-04-20,7015,162,1532,48,33,39,19,18,-0.28392292042956985,-0.5082565602233795,-0.4380778875869252,Trade Transportation and Utilities,653.1,No,No,No,3.3,3.5,56521,AllR,1,R
TX,2020-04-20,20035,523,5548,203,33,38,nan,18,-0.3240364575122263,-0.6182777208362203,-0.6800627385311271,Trade Transportation and Utilities,"2,549.20",No,No,No,4.5,2.5,51340,AllR,1,R
UT,2020-04-20,3213,28,845,10,33,45,nan,24,-0.3686865228645972,-0.6130646263839875,-0.9415604477126478,Trade Transportation and Utilities,295.2,No,No,No,2.5,3.4,59206,AllR,1,R
VA,2020-04-20,8989,300,3243,151,33,39,nan,21,-0.40868867177644,-0.5948039100084874,-0.6863535609225233,Professional and Business Services,779.6,No,No,No,2.7,3.8,57513,MostD,4,D
VT,2020-04-20,816,38,68,10,33,38,26,27,-0.4865999366355214,-0.6279123368590379,-0.9782154418281958,Education and Health Services,65.4,No,Yes,Yes,2.4,2.6,68358,AllD,5,D
WA,2020-04-20,12191,661,1653,136,33,51,26,28,-0.4013367990034332,-0.658185811695616,-0.9019626953433612,Trade Transportation and Utilities,654.7,Yes,Yes,Yes,3.9,4.9,71535,AllD,5,D
WI,2020-04-20,4499,231,1071,76,33,39,26,26,-0.3686929022813484,-0.6012154094469419,-0.8866322087026608,Manufacturing,484.2,No,No,No,3.5,2.7,43469,MostD,4,R
