state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport
AK,2020-03-13,1,0,1,0,-5,2,-15,-15,-0.10337128184013558,-0.2009289177545316,-0.9978032564110496,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R,18.5,51.6
AL,2020-03-13,6,0,6,0,-5,0,nan,-22,-0.05633946197139818,0.038405271163586815,0.8915458271492285,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R,24.3,46.2
AR,2020-03-13,7,0,7,0,-5,2,nan,nan,-0.16516951423481432,-0.044048346282845575,-0.3082448480037818,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R,21.2,34.8
AZ,2020-03-13,9,0,6,0,-5,2,nan,-18,-0.056897359333533085,-0.04215441941915362,-0.6301080329903812,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R,25.2,51.3
CA,2020-03-13,320,5,239,4,-5,9,-6,-6,-0.18134829405531927,-0.2120592457575633,0.16716754390406185,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D,29.4,51.4
CO,2020-03-13,78,2,70,2,-5,2,-13,-13,-0.085925933518569,-0.13998294051680968,-0.729597747825105,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D,24.9,43.2
CT,2020-03-13,11,0,11,0,-5,3,-10,-10,-0.21766551206575088,-0.22057711335170802,1.0674490856579577,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D,25.0,46.9
DC,2020-03-13,10,0,10,0,-5,2,-12,-19,-0.11673215675603155,-0.2435239030284722,92.74004986205874,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D,43.6,51.2
DE,2020-03-13,4,0,4,0,-5,0,-11,-11,-0.14896252199742738,-0.13553261187048934,1.1494469767619098,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D,25.9,43.1
FL,2020-03-13,70,2,63,0,-5,4,nan,-21,-0.019307258319609524,-0.06180808970962784,3.6777629592902334,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R,27.4,48.6
