state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-05-01,362,7,25,0,44,51,34,34,-0.36455987166065623,-0.32629067967450914,-0.9989269467516078,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-05-01,7294,289,1268,80,44,49,nan,27,-0.2285896163034207,-0.4589223016305658,-0.4678728109028366,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-05-01,3310,64,500,17,44,51,nan,nan,-0.2325623098049607,-0.4008600698469781,-0.7536588848422272,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-05-01,7962,330,1917,62,44,51,nan,31,-0.35772256577123585,-0.5645344766980901,-0.8959747961637627,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-05-01,52318,2147,10950,528,44,58,43,43,-0.39079255923383616,-0.5960610725976503,-0.7596529276291693,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-05-01,15661,818,3406,146,44,51,36,36,-0.4119019567362161,-0.5576638920774003,-0.9203339605335009,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-05-01,28764,2339,4843,575,44,52,39,39,-0.4857895141194518,-0.5606419169871734,-0.3961167518103776,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-05-01,4658,231,1130,78,44,51,37,30,-0.5998100664245378,-0.7561928857337059,12.674067774871054,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-05-01,4918,159,1476,59,44,49,38,38,-0.4307382121891276,-0.5913981614503065,-0.34030965843271666,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-05-01,34720,1313,4195,268,44,53,nan,28,-0.3925277849388133,-0.600569890047089,0.011866421354174816,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-05-01,26436,1153,4861,264,44,48,nan,28,-0.3226689961987808,-0.4657975875591485,-0.3907568457079775,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-05-01,610,16,15,3,44,58,37,37,-0.6050855093668343,-0.646087894370638,-0.7326273029911234,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-05-01,7883,170,3424,63,44,45,nan,nan,-0.31786355093808466,-0.5100664665854574,-0.8548296365318921,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-05-01,2035,63,165,9,44,49,37,37,-0.3240508624733037,-0.41457352153586624,-0.9638026645139904,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
IL,2020-05-01,56055,2464,16397,660,44,53,41,41,-0.40159309969614815,-0.5810889594931182,-0.5994416548479301,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D
IN,2020-05-01,18941,1175,5261,434,44,56,37,37,-0.3568457528395908,-0.4379615758943504,-0.5708533922389725,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R
KS,2020-05-01,4510,136,1669,19,44,50,nan,32,-0.3779670987581763,-0.4809963534068015,-0.9086056680248102,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R
KY,2020-05-01,4879,248,1100,45,44,56,36,36,-0.3306221481118547,-0.41322430726978143,-0.7409067245576249,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R
