state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport
AK,2020-03-16,3,0,3,0,-2,5,-12,-12,-0.14301777424529108,-0.10019091141693028,-0.997785452120352,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R,18.5,51.6
AL,2020-03-16,29,0,29,0,-2,3,nan,-19,-0.02704289803188793,-0.12574470603869595,0.15911316773044493,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R,24.3,46.2
AR,2020-03-16,22,0,22,0,-2,5,nan,nan,-0.12660927533558214,-0.20577604838865265,-0.570508477839881,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R,21.2,34.8
AZ,2020-03-16,18,0,12,0,-2,5,nan,-15,-0.047851238838287596,-0.1315655375398999,-0.6749069745205202,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R,25.2,51.3
CA,2020-03-16,588,11,416,9,-2,12,-3,-3,-0.17961546042792992,-0.2987743326209153,-0.2444422001148908,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D,29.4,51.4
CO,2020-03-16,161,2,149,2,-2,5,-10,-10,-0.07794564365155107,-0.21112869434413345,-0.8022565247361726,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D,24.9,43.2
CT,2020-03-16,41,0,39,0,-2,6,-7,-7,-0.2174851922940796,-0.28381708675582396,0.6759180136040128,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D,25.0,46.9
DC,2020-03-16,22,0,18,0,-2,5,-9,-16,-0.2925216929935047,-0.4681459611569866,47.404040865976725,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D,43.6,51.2
DE,2020-03-16,8,0,8,0,-2,3,-8,-8,-0.14928169852601528,-0.2105558958907255,0.741263537549707,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D,25.9,43.1
FL,2020-03-16,141,4,127,2,-2,7,nan,-18,-0.09091615986207784,-0.1769534724369663,2.6545307969166254,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R,27.4,48.6
GA,2020-03-16,118,1,101,1,-2,2,nan,-18,-0.1261123986037771,-0.22385328114832248,0.2505348779423975,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R,28.5,50.2
HI,2020-03-16,10,0,8,0,-2,12,-9,-9,0.06146540823696135,-0.07660831213469481,0.7579873965991663,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D,27.5,50.9
IA,2020-03-16,22,0,14,0,-2,-1,nan,nan,-0.08007011755895936,-0.19927487439064767,-0.7125501225875042,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R,19.1,30.5
ID,2020-03-16,5,0,5,0,-2,3,-9,-9,-0.16287310874326946,-0.14795404737233908,-0.9286158943081791,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R,20.3,56.3
IL,2020-03-16,104,0,93,0,-2,7,-5,-5,-0.15031294287110414,-0.27497534982754,0.2058305319743876,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D,29.1,49.6
IN,2020-03-16,24,1,20,1,-2,10,-9,-9,-0.0953078930536892,-0.2057615297103976,-0.04107443243606235,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R,23.0,40.1
KS,2020-03-16,11,1,10,1,-2,4,nan,-14,-0.08124573703429062,-0.183744423435322,-0.8184305591979986,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R,19.7,42.4
KY,2020-03-16,22,1,17,1,-2,10,-10,-10,-0.12041564718900052,-0.23343086197659765,-0.3763245289040036,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R,23.5,47.5
LA,2020-03-16,137,3,136,3,-2,5,-7,-7,-0.08915690420305006,-0.17860081532775793,-0.16063250988843666,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R,25.4,42.1
MA,2020-03-16,197,0,156,0,-2,6,-8,-8,-0.2456076020432496,-0.3286159854690611,0.7932302851796474,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D,30.2,48.5
MD,2020-03-16,39,0,33,0,-2,11,-7,-14,-0.17436621090252508,-0.2519655300829557,1.2041019648431055,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D,30.7,49.9
ME,2020-03-16,17,0,17,0,-2,1,-9,-16,-0.20567904742690327,-0.2252657207587072,-0.9303773691107864,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D,22.9,38.2
MI,2020-03-16,54,0,54,0,-2,-16,-7,-8,-0.16657071091113868,-0.28538196772302554,-0.3373657951868795,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R,24.4,43.2
MN,2020-03-16,54,0,52,0,-2,3,nan,-12,-0.19192056222595466,-0.20053774352699966,-0.7140156939035102,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D,23.7,37.9
MO,2020-03-16,9,0,8,0,-2,3,nan,-21,-0.08398196836669039,-0.1758836769125686,-0.35137899016628826,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R,23.8,49.1
MS,2020-03-16,12,0,12,0,-2,2,-18,-18,-0.03673418024536506,-0.11478280853296699,-0.5026092716553892,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R,23.0,38.6
MT,2020-03-16,8,0,8,0,-2,4,-12,-12,-0.1881092697791609,-0.10989571096095756,-0.9857735203078392,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R,17.3,33.9
NC,2020-03-16,34,0,27,0,-2,6,-14,-14,-0.0965973789112224,-0.17705079347612826,0.12328746386073484,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R,24.4,41.8
