state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,State,Abbreviation,Largest Employer,Type of Industry,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2018Q1P,2018Q2P,2018Q3P,2018Q4P,2019Q1P,2019Q2P,2019Q3P,2019Q4P,Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Reference(Paid Sick Leave),Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017
AK,2020-04-05,183,4,69,3,18,25,8,8,-0.5611036262473449,-0.5907884608034095,-0.9995619955588256,Alaska,Alaska,Arctic Slope Regional Corporation,Energy,Government,79.3,53563,54373,55410,55591,54941,55495,55430,55759,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,No,No,No,,6.0,5.8,73181
AL,2020-04-05,1840,45,1010,40,18,23,nan,1,-0.4759294579152352,-0.6711378413600259,-0.7417734608208741,Alabama,Ala.,Alabama Power Company,Utlity,Government,393.5,217370,220572,223141,225859,227735,229939,232145,234054,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,No,No,No,,2.7,2.7,48123
AR,2020-04-05,853,16,404,10,18,25,nan,nan,-0.3833905098657065,-0.5584864642118631,-0.8393870436707832,Arkansas,Ark.,Walmart Inc.,Retail,"Trade, Transportation, & Utilities",253.2,126089,128353,129033,130201,131038,132438,134022,135225,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,No,No,No,,3.5,3.9,45869
AZ,2020-04-05,2269,64,1340,46,18,25,nan,5,-0.4998068469651877,-0.6829610131521179,-0.9207167961616052,Arizona,Ariz.,"Avnet, Inc.",Electronics,"Trade, Transportation, & Utilities",551.3,340673,345474,351709,355333,359405,364277,368556,372522,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,No,Yes,Yes,,4.5,4.5,56581
CA,2020-04-05,15076,349,8810,219,18,32,17,17,-0.6125751861159682,-0.7543018150457245,-0.8657370128937002,California,Calif.,Apple Inc.,Consumer electronics,"Trade, Transportation, & Utilities","3,062.50",2928096,2992623,3017340,3052871,3087669,3123732,3155224,3183251,14.5,14.6,14.5,14.6,14.6,14.6,14.6,14.6,Yes,Yes,Yes,1.0,3.9,2.5,71805
CO,2020-04-05,4950,140,2635,93,18,25,10,10,-0.5332559198217453,-0.6848266255508385,-0.9452958154430462,Colorado,Colo.,"Arrow Electronics, Inc.",Electronics,"Trade, Transportation, & Utilities",481.5,362721,370477,375312,378489,383690,388731,392348,396367,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,No,No,No,,2.5,2.8,69117
CT,2020-04-05,5675,189,3682,155,18,26,13,13,-0.5847164352588088,-0.6929770277464002,-0.5747475483426943,Connecticut,Conn.,Aetna Inc,Health care,Education & Health Services,345.1,272854,273884,278295,277874,281659,284357,287560,288985,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,Yes,Yes,Yes,,3.7,3.9,74168
DC,2020-04-05,998,22,656,17,18,25,11,4,-0.7519721947398001,-0.852673457318561,4.036220307624361,District of Columbia,D.C.,,,Government,239.7,138469,139580,141969,142626,144075,145476,146996,148231,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,Yes,Yes,Yes,,5.2,2.8,82372
DE,2020-04-05,673,14,441,8,18,23,12,12,-0.5519162074568282,-0.7286917531266648,-0.5014059149468657,Delaware,Del.,DowDuPont Inc.,Chemicals,"Trade, Transportation, & Utilities",82.8,72091,73025,74461,74348,74270,75216,75765,76410,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,No,No,No,,4.0,5.2,62852
FL,2020-04-05,12342,220,7400,161,18,27,nan,2,-0.6471551425891443,-0.7410529741726614,-0.3475744474245945,Florida,Fla.,World Fuel Services,Energy,"Trade, Transportation, & Utilities","1,823.00",1020177,1032277,1048478,1056014,1073992,1087312,1100721,1111378,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,No,No,No,,2.8,3.1,52594
GA,2020-04-05,6742,219,4059,136,18,22,nan,2,-0.5469825393029346,-0.6759102236782655,-0.6642779260891783,Georgia,Ga.,"The Home Depot, Inc.",Retail,"Trade, Transportation, & Utilities",954.3,579993,588340,597746,602535,607081,613105,619818,625329,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,No,No,No,,3.1,2.7,56183
HI,2020-04-05,369,4,194,4,18,32,11,11,-0.7192245030946002,-0.7302406000103082,-0.7111379372102985,Hawaii,Hawaii,"waiian Electric Industries, Inc.",Utilities,Leisure & Hospitality,127.6,91947,93589,94288,95369,96094,96832,97664,98536,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,No,No,No,,2.7,2.7,77765
