state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport
AK,2020-02-25,0,0,0,0,-22,-15,-32,-32,0.023753179097041315,0.02007164759715137,-0.9966793726990516,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R,18.5,51.6
AL,2020-02-25,0,0,0,0,-22,-17,nan,-39,0.039273387372719404,0.04514095449882489,1.3232865501266842,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R,24.3,46.2
AR,2020-02-25,0,0,0,0,-22,-15,nan,nan,0.007077558635334353,-0.002000276062176464,-0.08761381977631487,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R,21.2,34.8
AZ,2020-02-25,1,0,0,0,-22,-15,nan,-35,0.035991944197260775,0.014932994699071512,-0.4119912745019444,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R,25.2,51.3
CA,2020-02-25,11,0,4,0,-22,-8,-23,-23,-0.055024471798751806,-0.18892273072426705,0.18752510611707215,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D,29.4,51.4
CO,2020-02-25,0,0,0,0,-22,-15,-30,-30,-0.0008442289815322666,-0.02294555294188658,-0.5977487081394973,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D,24.9,43.2
CT,2020-02-25,0,0,0,0,-22,-14,-27,-27,0.007049689398360248,-0.014693859397653938,2.9915063968890965,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D,25.0,46.9
DC,2020-02-25,0,0,0,0,-22,-15,-29,-36,0.002065058431654051,-0.004917582559941135,305.1504808800845,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D,43.6,51.2
DE,2020-02-25,0,0,0,0,-22,-17,-28,-28,-0.007155882989514525,-0.028184819454505163,2.3559370741331342,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D,25.9,43.1
FL,2020-02-25,0,0,0,0,-22,-13,nan,-38,0.006309123592407168,-0.012150744060854826,6.0878397885207916,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R,27.4,48.6
GA,2020-02-25,0,0,0,0,-22,-18,nan,-38,0.020910837113390063,-0.0006563185948699722,2.059860987537056,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R,28.5,50.2
HI,2020-02-25,0,0,0,0,-22,-8,-29,-29,-0.014237187338151687,-0.03067096941781008,1.2772509263623608,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D,27.5,50.9
IA,2020-02-25,0,0,0,0,-22,-21,nan,nan,0.012839599090649972,-0.01894087283818163,-0.4458024340192676,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R,19.1,30.5
ID,2020-02-25,0,0,0,0,-22,-17,-29,-29,0.07114662573245176,0.024306661126167646,-0.8890846946136379,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R,20.3,56.3
IL,2020-02-25,2,0,0,0,-22,-13,-25,-25,-0.023715284607129367,-0.043203295108952884,1.7665164012546648,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D,29.1,49.6
IN,2020-02-25,0,0,0,0,-22,-10,-29,-29,-0.0061282248281254075,-0.03208109195392558,0.7859141600288294,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R,23.0,40.1
KS,2020-02-25,0,0,0,0,-22,-16,nan,-34,-0.012280672158222173,-0.03293135337623902,-0.6267255521952784,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R,19.7,42.4
KY,2020-02-25,0,0,0,0,-22,-10,-30,-30,0.020257216646245888,-0.014472343943648975,0.30872364284856574,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R,23.5,47.5
LA,2020-02-25,0,0,0,0,-22,-15,-27,-27,0.04872473854170582,-0.008131183745811265,1.0179771343905593,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R,25.4,42.1
MA,2020-02-25,1,0,0,0,-22,-14,-28,-28,-0.002914373143419329,-0.02710603768986554,4.549121269611665,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D,30.2,48.5
MD,2020-02-25,0,0,0,0,-22,-9,-27,-34,0.0022397105344805442,-0.03290049879779403,3.52598934654433,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D,30.7,49.9
ME,2020-02-25,0,0,0,0,-22,-19,-29,-36,0.01879250290813997,-0.004467936055944761,-0.8645382780782227,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D,22.9,38.2
MI,2020-02-25,0,0,0,0,-22,-36,-27,-28,-0.00013207498306789346,-0.0006295841655074536,0.4738068392670651,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R,24.4,43.2
MN,2020-02-25,0,0,0,0,-22,-17,nan,-32,0.03545299743196523,0.003983538684522389,-0.4102958457528716,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D,23.7,37.9
MO,2020-02-25,0,0,0,0,-22,-17,nan,-41,0.001193822684790004,-0.029647795171005645,0.18544356441186796,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R,23.8,49.1
MS,2020-02-25,0,0,0,0,-22,-18,-38,-38,0.045726357608074905,0.017123702165680283,-8.362034704323394e-05,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R,23.0,38.6
MT,2020-02-25,0,0,0,0,-22,-16,-32,-32,0.06646893744689601,0.015837928037377654,-0.9754397420483268,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R,17.3,33.9
