state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-03-30,119,2,83,2,12,19,2,2,-0.4694037062837486,-0.469845247853973,-0.9994791627909833,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-03-30,947,11,751,11,12,17,nan,-5,-0.23872483560528665,-0.4772032566882606,-0.555306793995957,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-03-30,508,7,307,7,12,19,nan,nan,-0.261074108968926,-0.4713164308975442,-0.8025127529750491,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-03-30,1169,20,935,18,12,19,nan,-1,-0.3392668924073665,-0.5174782918892794,-0.8875926577385558,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-03-30,7421,146,5181,107,12,26,11,11,-0.41310727430813,-0.6298449930846138,-0.8285103766104469,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-03-30,2628,51,1907,41,12,19,4,4,-0.4365151828178925,-0.6114894633915601,-0.9456591644937988,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-03-30,2571,36,2156,26,12,20,7,7,-0.44878915130998975,-0.6163556673688246,-0.5515027244699998,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-03-30,401,9,285,7,12,19,5,-2,-0.6064206241163351,-0.712152665651766,8.035424673746467,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-03-30,264,7,177,7,12,17,6,6,-0.3734588913884348,-0.5765959831342814,-0.4464215373920768,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-03-30,5694,71,4472,53,12,21,nan,-4,-0.4273021394719013,-0.5997282689699741,-0.02092356285364827,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
