state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport
AK,2020-03-01,0,0,0,0,-17,-10,-27,-27,0.0184538723878965,0.015154313403978494,-0.9971990050667136,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R,18.5,51.6
AL,2020-03-01,0,0,0,0,-17,-12,nan,-34,0.030444132484488236,0.02126439730370516,0.5714786767925175,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R,24.3,46.2
AR,2020-03-01,0,0,0,0,-17,-10,nan,nan,0.02075625451803943,0.02512383590926986,-0.3293912325598686,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R,21.2,34.8
AZ,2020-03-01,1,0,0,0,-17,-10,nan,-30,-0.01675511778021667,0.010639140138975028,-0.5400213742291551,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R,25.2,51.3
CA,2020-03-01,33,0,24,0,-17,-3,-18,-18,-0.027644636441740117,-0.04403017870727784,0.25347156129381565,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D,29.4,51.4
CO,2020-03-01,0,0,0,0,-17,-10,-25,-25,-0.003841886374185345,0.005103108404886593,-0.6729418204446938,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D,24.9,43.2
CT,2020-03-01,0,0,0,0,-17,-9,-22,-22,0.001254257736514334,0.009970646892652412,2.1386022165674468,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D,25.0,46.9
DC,2020-03-01,0,0,0,0,-17,-10,-24,-31,-0.057568435900156076,-0.0885638308871271,104.01007885978224,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D,43.6,51.2
DE,2020-03-01,0,0,0,0,-17,-12,-23,-23,0.00813042291187019,0.0010201614384557727,1.5711773359555337,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D,25.9,43.1
FL,2020-03-01,2,0,2,0,-17,-8,nan,-33,-0.002771961844540342,-0.012866220336985958,4.870616688537089,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R,27.4,48.6
GA,2020-03-01,0,0,0,0,-17,-13,nan,-33,0.007260655584458302,0.03894489194714448,1.2062226900022974,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R,28.5,50.2
HI,2020-03-01,0,0,0,0,-17,-3,-24,-24,-0.0017975061701131993,-0.01006849553634886,0.9552682960330254,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D,27.5,50.9
IA,2020-03-01,0,0,0,0,-17,-16,nan,nan,0.04574353925776477,0.015691717993193896,-0.5323725750722392,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R,19.1,30.5
ID,2020-03-01,0,0,0,0,-17,-12,-24,-24,0.06406118585979331,0.014756794658715662,-0.9167910175565815,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R,20.3,56.3
IL,2020-03-01,3,0,1,0,-17,-8,-20,-20,0.012734644936809592,0.009113270053321385,0.8977832532454993,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D,29.1,49.6
