state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport
AK,2020-03-26,69,0,57,0,8,15,-2,-2,-0.4708822119949926,-0.43445440785727657,-0.9987658396947404,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R,18.5,51.6
AL,2020-03-26,538,3,460,3,8,13,nan,-9,-0.19061330878561286,-0.5211225744997745,-0.4479873085834141,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R,24.3,46.2
AR,2020-03-26,350,3,288,3,8,15,nan,nan,-0.16717426373914335,-0.4730040699564416,-0.7261195771069721,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R,21.2,34.8
AZ,2020-03-26,508,8,461,8,8,15,nan,-5,-0.33311842874922,-0.5817001191663635,-0.8448767983154295,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R,25.2,51.3
CA,2020-03-26,4060,82,2993,63,8,22,7,7,-0.4086972926355101,-0.6476679204006557,-0.685504076935974,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D,29.4,51.4
CO,2020-03-26,1432,24,1154,19,8,15,0,0,-0.4358899124272292,-0.6918179369509246,-0.9196189354364422,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D,24.9,43.2
CT,2020-03-26,1012,21,853,17,8,16,3,3,-0.40416918313529543,-0.6142972222152012,-0.12629258995341786,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D,25.0,46.9
DC,2020-03-26,231,3,192,3,8,15,1,-6,-0.6152754228820133,-0.7412102860529197,22.48668316848536,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D,43.6,51.2
DE,2020-03-26,143,1,113,1,8,13,2,2,-0.3485682577898037,-0.6112757211372882,-0.1522997273802249,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D,25.9,43.1
FL,2020-03-26,2477,29,2043,21,8,17,nan,-8,-0.37778532885221533,-0.6168177816484781,0.5192249697308398,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R,27.4,48.6
GA,2020-03-26,1641,56,1359,46,8,12,nan,-8,-0.26728634456204003,-0.5428198028874558,-0.3227264057913868,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R,28.5,50.2
HI,2020-03-26,106,0,80,0,8,22,1,1,-0.5590373211137717,-0.6609430327775372,-0.484302528051549,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D,27.5,50.9
IA,2020-03-26,179,1,135,1,8,9,nan,nan,-0.2228790163975116,-0.5395028785277455,-0.8513482654884512,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R,19.1,30.5
ID,2020-03-26,189,3,166,3,8,13,1,1,-0.28825902218207905,-0.5833116390525034,-0.967430459876291,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R,20.3,56.3
IL,2020-03-26,2538,26,2118,22,8,17,5,5,-0.346876860226,-0.6414936752345967,-0.5218573330110856,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D,29.1,49.6
IN,2020-03-26,656,18,600,16,8,20,1,1,-0.28587615502619895,-0.6030418247382561,-0.5973088683220089,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R,23.0,40.1
KS,2020-03-26,171,3,136,2,8,14,nan,-4,-0.29084264504251345,-0.5563379164249399,-0.9025245815700026,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R,19.7,42.4
KY,2020-03-26,248,5,201,3,8,20,0,0,-0.24275172093620034,-0.529365654141184,-0.6619021480206762,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R,23.5,47.5
LA,2020-03-26,2305,83,1913,73,8,15,3,3,-0.3232517485370137,-0.5965482677678666,-0.6724020424765785,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R,25.4,42.1
MA,2020-03-26,2417,25,2089,25,8,16,2,2,-0.4748284455740299,-0.6466526796656061,-0.05176393838993398,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D,30.2,48.5
MD,2020-03-26,581,4,473,3,8,21,3,-4,-0.37943704442744897,-0.5905956676799106,0.10139546113383302,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D,30.7,49.9
ME,2020-03-26,155,0,103,0,8,11,1,-6,-0.2814324005441997,-0.5298513069334824,-0.9588292873555124,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D,22.9,38.2
MI,2020-03-26,2877,63,2543,60,8,-6,3,2,-0.4651466029121445,-0.6889116265549797,-0.7575790980031802,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R,24.4,43.2
MN,2020-03-26,346,2,257,2,8,13,nan,-2,-0.35154739799220897,-0.5358865255058001,-0.8421794540723015,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D,23.7,37.9
MO,2020-03-26,507,8,472,7,8,13,nan,-11,-0.2633402068154087,-0.5598547529085172,-0.7235190036884948,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R,23.8,49.1
MS,2020-03-26,486,6,436,5,8,12,-8,-8,-0.21839477816952632,-0.4941939378449335,-0.7362931460817536,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R,23.0,38.6
MT,2020-03-26,90,0,71,0,8,14,-2,-2,-0.2706579543846819,-0.5155691778605861,-0.9899174607554982,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R,17.3,33.9
NC,2020-03-26,637,2,533,2,8,16,-4,-4,-0.2397749042466475,-0.5030448087932872,-0.3984896672916999,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R,24.4,41.8
ND,2020-03-26,58,0,39,0,8,13,nan,nan,-0.3166442495489966,-0.5362670605890391,-0.976254090591392,Trade Transportation and Utilities,92.8,No,No,No,2.3,4.2,61843,AllR,1,R,18.6,32.6
NE,2020-03-26,91,0,44,0,8,13,nan,nan,-0.2808587689671944,-0.5220096472962458,-0.9211558738203371,Trade Transportation and Utilities,198.6,No,No,No,3.9,3.6,59970,AllR,1,R,18.8,33.6
NH,2020-03-26,158,1,114,1,8,13,-2,-2,-0.3682831740541091,-0.5321848315696128,-0.768272712077662,Trade Transportation and Utilities,138.5,No,No,No,2.6,3.8,73381,AllD,5,D,24.4,33.7
NJ,2020-03-26,6876,81,6141,72,8,17,5,5,-0.46438913267565707,-0.6893379933094103,1.0154457384664155,Trade Transportation and Utilities,893.7,Yes,Yes,Yes,3.8,4.8,80088,AllD,5,D,28.7,50.2
NM,2020-03-26,136,1,101,1,8,15,2,2,-0.3082066534129559,-0.5931986138054005,-0.9764991668033282,Government,189.7,No,No,No,4.8,3.7,46744,MostD,4,D,22.1,36.9
NV,2020-03-26,535,10,436,9,8,14,nan,-5,-0.5081106317030101,-0.7186019961900045,-0.9377457681215222,Leisure and Hospitality,356.4,No,No,Yes,3.6,3.6,58003,MostD,4,D,23.9,57.2
NY,2020-03-26,39057,502,34896,463,8,19,4,4,-0.4903480454868767,-0.6627037399870255,-0.10798500126575694,Government,"1,488.10",Yes,Yes,Yes,3.8,3.6,64894,AllD,5,D,35.0,53.1
OH,2020-03-26,867,15,747,15,8,17,2,2,-0.3188875527871218,-0.5834951137066642,-0.3467392289933744,Trade Transportation and Utilities,"1,028.40",No,No,No,4.1,3.2,54021,Tie,3,R,23.5,43.0
OK,2020-03-26,248,7,204,6,8,-7,-6,nan,-0.23585448161796266,-0.5012473872891341,-0.7520732585362278,Government,356.6,No,No,No,3.3,3.3,50051,AllR,1,R,21.5,30.2
OR,2020-03-26,316,11,229,8,8,18,nan,3,-0.3074488847103717,-0.6013528952493821,-0.9396587332898416,Trade Transportation and Utilities,359.3,Yes,Yes,Yes,3.3,4.7,60212,AllD,5,D,24.4,46.1
PA,2020-03-26,1690,16,1503,15,8,20,3,-6,-0.35444647149010755,-0.6248970409521666,-0.5608674904331898,Education and Health Services,1307,No,No,No,4.7,3.4,59195,MostD,4,R,26.4,45.1
RI,2020-03-26,165,0,121,0,8,17,nan,-2,-0.386827010853021,-0.595097592555353,0.21047478219520774,Education and Health Services,110.7,Yes,Yes,Yes,3.1,2.5,19343,AllD,5,D,23.9,44.9
SC,2020-03-26,456,9,375,8,8,13,nan,-12,-0.21355752441874892,-0.4990089556840227,-0.3812679670246262,Trade Transportation and Utilities,410.6,No,No,No,2.4,3.3,63870,AllR,1,R,24.4,34.4
SD,2020-03-26,46,1,32,0,8,-7,nan,nan,-0.277967803257212,-0.5414736196067512,-0.9789074281444812,Trade Transportation and Utilities,86.3,No,No,No,3.4,3.4,50570,AllR,1,R,16.6,29.8
TN,2020-03-26,981,3,826,3,8,14,-6,-7,-0.226950695138282,-0.5014672054405918,-0.3819105701239696,Trade Transportation and Utilities,653.1,No,No,No,3.3,3.5,56521,AllR,1,R,25.3,40.9
TX,2020-03-26,1542,21,1294,17,8,13,nan,-7,-0.31598752728180585,-0.593781569849889,-0.604269958050409,Trade Transportation and Utilities,"2,549.20",No,No,No,4.5,2.5,51340,AllR,1,R,26.4,49.3
UT,2020-03-26,402,1,322,1,8,20,nan,-1,-0.34341337871993793,-0.5459669180073226,-0.902965519691026,Trade Transportation and Utilities,295.2,No,No,No,2.5,3.4,59206,AllR,1,R,21.6,43.3
VA,2020-03-26,603,14,509,12,8,14,nan,-4,-0.32563363882430435,-0.5363372761958694,-0.533699042049317,Professional and Business Services,779.6,No,No,No,2.7,3.8,57513,MostD,4,D,27.8,47.1
VT,2020-03-26,158,9,136,7,8,13,1,2,-0.4895352967983638,-0.6317097968770418,-0.9573085181332822,Education and Health Services,65.4,No,Yes,Yes,2.4,2.6,68358,AllD,5,D,23.3,31.3
WA,2020-03-26,3208,151,1980,76,8,26,1,3,-0.4230738047205596,-0.6389604673762139,-0.8550797504900037,Trade Transportation and Utilities,654.7,Yes,Yes,Yes,3.9,4.9,71535,AllD,5,D,27.6,48.6
WI,2020-03-26,754,10,599,8,8,14,1,1,-0.3145001886071024,-0.6406330201367355,-0.8596971227583629,Manufacturing,484.2,No,No,No,3.5,2.7,43469,MostD,4,R,21.5,34.2
WV,2020-03-26,76,0,71,0,8,10,2,2,-0.25723326187741613,-0.5931203678095073,-0.8766744270151741,Government,152.1,No,No,No,5.0,3.7,70979,AlllR,1,R,23.9,35.5
WY,2020-03-26,56,0,38,0,8,13,nan,nan,-0.13043596991667072,-0.5309590133747201,-0.9898527235012199,Trade Transportation and Utilities,532.8,No,No,No,3.7,5.8,59305,AllR,1,R,17.3,46.8
