state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-04-03,156,2,71,1,16,23,6,6,-0.4929169540992741,-0.4579806394687039,-0.9993632676356758,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-04-03,1535,38,896,34,16,21,nan,-1,-0.3175795335773207,-0.5297118045436368,-0.22864470091595546,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-04-03,738,12,353,9,16,23,nan,nan,-0.3437979095088182,-0.5094537368040879,-0.7185617075930713,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-04-03,1769,41,1104,26,16,23,nan,3,-0.3874165806851413,-0.6030836930849846,-0.8882777535493046,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-04-03,12569,282,7655,180,16,30,15,15,-0.4192695071819245,-0.621026505619111,-0.7855965824983941,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-04-03,4182,110,2447,79,16,23,8,8,-0.49191174371471597,-0.6646814177904489,-0.9352733822909716,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-04-03,4915,132,3624,105,16,24,11,11,-0.4875207798422929,-0.6424400030574832,-0.4597469273500184,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-04-03,757,15,490,12,16,23,9,2,-0.6515864201725935,-0.7655136822495782,7.56271085425826,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-04-03,450,14,285,12,16,21,10,10,-0.42165429864140014,-0.6366679881970781,-0.2912292933698521,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-04-03,10260,169,7062,123,16,25,nan,0,-0.4852038468051428,-0.6679044225665509,0.10357550017741213,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-04-03,5967,198,3769,134,16,20,nan,0,-0.408276571611056,-0.582319138087048,-0.33058522427709536,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-04-03,317,3,197,3,16,30,9,9,-0.6275678699499326,-0.6350803490093204,-0.5834385167424372,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-04-03,699,11,464,8,16,17,nan,nan,-0.3675077887284417,-0.5894252597265296,-0.8653216528329274,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-04-03,1012,10,781,6,16,21,9,9,-0.3689805184156231,-0.5663636102685089,-0.9714798476233968,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
IL,2020-04-03,8904,211,5875,174,16,25,13,13,-0.4039777627393724,-0.6172778761560207,-0.5523347279166766,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D
IN,2020-04-03,3439,102,2457,76,16,28,9,9,-0.3614465361417265,-0.5550362402021857,-0.5683049654482382,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R
KS,2020-04-03,624,19,412,15,16,22,nan,4,-0.4450651538878502,-0.6330853386996107,-0.9190242119966909,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R
KY,2020-04-03,762,34,460,26,16,28,8,8,-0.34445544781452164,-0.5065242785564074,-0.6965822756995254,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R
LA,2020-04-03,10299,370,7553,251,16,23,11,11,-0.4453072272664851,-0.5904869036448746,-0.6359550983400015,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R
MA,2020-04-03,10402,192,7162,157,16,24,10,10,-0.544069504781068,-0.6953147888891221,-0.5207494105925282,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D
MD,2020-04-03,2758,42,1983,37,16,29,11,4,-0.4666571138348414,-0.6302503294314593,-0.2325073419558843,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D
ME,2020-04-03,432,9,264,8,16,19,9,2,-0.4603733397153929,-0.6471079327976964,-0.9806579617884269,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D
MI,2020-04-03,12669,478,9014,385,16,2,11,10,-0.5046708498550893,-0.6587378899893068,-0.7830751773197382,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R
MN,2020-04-03,789,22,391,18,16,21,nan,6,-0.5133815228479219,-0.6525590695960369,-0.9177926530949428,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D
MO,2020-04-03,2113,31,1443,22,16,21,nan,-3,-0.3782311450253921,-0.5838561392662761,-0.718327968124115,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R
MS,2020-04-03,1358,29,779,21,16,20,0,0,-0.3737309011928919,-0.5204342947238676,-0.7034087305757792,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R
MT,2020-04-03,262,5,141,4,16,22,6,6,-0.4063119389327023,-0.5905801375779596,-0.9943396157874009,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R
NC,2020-04-03,2093,19,1311,16,16,24,4,4,-0.3646033822851416,-0.5234386234485024,-0.4612865608299586,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R
ND,2020-04-03,173,3,105,2,16,21,nan,nan,-0.4774524783317329,-0.6166230142444323,-0.9847658990475086,Trade Transportation and Utilities,92.8,No,No,No,2.3,4.2,61843,AllR,1,R
NE,2020-04-03,296,6,197,4,16,21,nan,nan,-0.4229797587879013,-0.5869643341216774,-0.9341490607874452,Trade Transportation and Utilities,198.6,No,No,No,3.9,3.6,59970,AllR,1,R
NH,2020-04-03,540,7,353,5,16,21,6,6,-0.4998107022784882,-0.6028550246793721,-0.8734115411702946,Trade Transportation and Utilities,138.5,No,No,No,2.6,3.8,73381,AllD,5,D
NJ,2020-04-03,29895,647,21070,539,16,25,13,13,-0.5038756906251313,-0.7112100060603762,0.31393136090279405,Trade Transportation and Utilities,893.7,Yes,Yes,Yes,3.8,4.8,80088,AllD,5,D
NM,2020-04-03,495,10,304,9,16,23,10,10,-0.3763620330768023,-0.5536335623580124,-0.982466199672402,Government,189.7,No,No,No,4.8,3.7,46744,MostD,4,D
NV,2020-04-03,1549,43,928,33,16,22,nan,3,-0.5372682966258207,-0.7115231692622008,-0.9529773719312544,Leisure and Hospitality,356.4,No,No,Yes,3.6,3.6,58003,MostD,4,D
NY,2020-04-03,103651,3716,58906,3071,16,27,12,12,-0.5482566602718968,-0.6977023073312841,-0.6006838813508695,Government,"1,488.10",Yes,Yes,Yes,3.8,3.6,64894,AllD,5,D
OH,2020-04-03,3312,91,2168,69,16,25,10,10,-0.3772019710290386,-0.5517844309236297,-0.3731813107743095,Trade Transportation and Utilities,"1,028.40",No,No,No,4.1,3.2,54021,Tie,3,R
OK,2020-04-03,987,38,665,30,16,1,2,nan,-0.380644989344079,-0.5759129611101799,-0.7798913838601498,Government,356.6,No,No,No,3.3,3.3,50051,AllR,1,R
OR,2020-04-03,899,22,485,10,16,26,nan,11,-0.35586604459453736,-0.576127965686423,-0.9545407641809288,Trade Transportation and Utilities,359.3,Yes,Yes,Yes,3.3,4.7,60212,AllD,5,D
PA,2020-04-03,8420,102,6203,79,16,28,11,2,-0.43881109425464027,-0.6416211833824909,-0.6749866919848615,Education and Health Services,1307,No,No,No,4.7,3.4,59195,MostD,4,R
RI,2020-04-03,711,14,508,14,16,25,nan,6,-0.4920953573216713,-0.6691821423701811,-0.3680980200524077,Education and Health Services,110.7,Yes,Yes,Yes,3.1,2.5,19343,AllD,5,D
SC,2020-04-03,1700,34,1161,21,16,21,nan,-4,-0.3480060536665395,-0.5248318963347891,-0.3584960715583497,Trade Transportation and Utilities,410.6,No,No,No,2.4,3.3,63870,AllR,1,R
SD,2020-04-03,187,2,129,1,16,1,nan,nan,-0.4452104949183872,-0.5973128478877994,-0.9825314519161726,Trade Transportation and Utilities,86.3,No,No,No,3.4,3.4,50570,AllR,1,R
TN,2020-04-03,3032,36,1852,30,16,22,2,1,-0.3767785463629917,-0.5640608329189182,-0.4490845503012009,Trade Transportation and Utilities,653.1,No,No,No,3.3,3.5,56521,AllR,1,R
TX,2020-04-03,5669,97,3729,74,16,21,nan,1,-0.4404079188937107,-0.6127727211173386,-0.6538553452733802,Trade Transportation and Utilities,"2,549.20",No,No,No,4.5,2.5,51340,AllR,1,R
UT,2020-04-03,1248,7,768,5,16,28,nan,7,-0.3842893993790165,-0.5295710742193822,-0.9302856588174192,Trade Transportation and Utilities,295.2,No,No,No,2.5,3.4,59206,AllR,1,R
VA,2020-04-03,2011,46,1406,32,16,22,nan,4,-0.4264650912228337,-0.5537902883018122,-0.6193450836917531,Professional and Business Services,779.6,No,No,No,2.7,3.8,57513,MostD,4,D
VT,2020-04-03,389,17,205,7,16,21,9,10,-0.5869997364994929,-0.6537883287290426,-0.9787504787070264,Education and Health Services,65.4,No,Yes,Yes,2.4,2.6,68358,AllD,5,D
WA,2020-04-03,6966,293,3196,116,16,34,9,11,-0.4513259126897266,-0.5945552873425,-0.8878286408354352,Trade Transportation and Utilities,654.7,Yes,Yes,Yes,3.9,4.9,71535,AllD,5,D
WI,2020-04-03,1916,49,986,33,16,22,9,9,-0.4048243062808903,-0.6096236163230664,-0.871331041321747,Manufacturing,484.2,No,No,No,3.5,2.7,43469,MostD,4,R
WV,2020-04-03,242,2,146,2,16,18,10,10,-0.34626629786291885,-0.5338843134322612,-0.8805237304052899,Government,152.1,No,No,No,5.0,3.7,70979,AlllR,1,R
WY,2020-04-03,166,0,93,0,16,21,nan,nan,-0.245541041606244,-0.5183917722896777,-0.9929349489287964,Trade Transportation and Utilities,532.8,No,No,No,3.7,5.8,59305,AllR,1,R
