state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-04-19,317,7,47,1,32,39,22,22,-0.4873615370703264,-0.5829968729762637,-0.9994562427911852,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-04-19,4903,160,1320,67,32,37,nan,15,-0.4923272988157862,-0.6516050062148855,-0.6785330928089611,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-04-19,1781,39,501,12,32,39,nan,nan,-0.3830115483116725,-0.5425201334350866,-0.8045618878790733,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-04-19,4929,188,1390,71,32,39,nan,19,-0.3953170610481837,-0.6601761305700069,-0.9047585606389774,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-04-19,31544,1176,8221,500,32,46,31,31,-0.4918312574319372,-0.7356552936073882,-0.8371226921484269,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-04-19,9730,421,2427,131,32,39,24,24,-0.4638988503168957,-0.6539538429757719,-0.9351910629072258,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-04-19,17962,1127,5927,573,32,40,27,27,-0.45920107904213303,-0.6340733537183542,-0.4772196801161873,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-04-19,2793,96,918,46,32,39,25,18,-0.6627734854779693,-0.8680413394374762,3.510326183443734,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-04-19,2538,67,913,32,32,37,26,26,-0.4584567806193413,-0.6893846984827553,-0.4624614752184577,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-04-19,26306,773,6451,313,32,41,nan,16,-0.5200467722550961,-0.6849524939369511,-0.07553170571798372,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-04-19,17619,682,5516,244,32,36,nan,16,-0.539282917647305,-0.6689084161608482,-0.6267588423326808,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-04-19,574,10,77,1,32,46,25,25,-0.6679176632073122,-0.7511286616186242,-0.706920859519316,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-04-19,2915,75,1328,34,32,33,nan,nan,-0.3874056279647316,-0.5625330066805168,-0.8726151633830411,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-04-19,1581,45,156,18,32,37,25,25,-0.32267652549047143,-0.524985726075669,-0.9780797461289252,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
IL,2020-04-19,30357,1302,9505,575,32,41,29,29,-0.4885686261010558,-0.6461630250040504,-0.6112812230241047,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D
IN,2020-04-19,11210,562,3282,219,32,44,25,25,-0.4367924181183315,-0.5761945264407493,-0.6413825355414018,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R
KS,2020-04-19,1897,94,560,38,32,38,nan,20,-0.4108683287313962,-0.5470226699432066,-0.9152687289042074,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R
KY,2020-04-19,2960,149,997,51,32,44,24,24,-0.4199700065393481,-0.5517504473362114,-0.7939899523658872,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R
LA,2020-04-19,23928,1296,3333,456,32,39,27,27,-0.5102664724643421,-0.6352353744621619,-0.7592611640758204,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R
MA,2020-04-19,38077,1706,12602,950,32,40,26,26,-0.5011333619290717,-0.6613932658704778,-0.5015450984894088,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D
MD,2020-04-19,12830,486,4605,250,32,45,27,20,-0.5265721911189075,-0.6798387276989597,-0.4074107179737736,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D
ME,2020-04-19,867,34,234,15,32,35,25,18,-0.3769031401005277,-0.5083714141124441,-0.9783459311203666,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D
MI,2020-04-19,31348,2389,6854,903,32,18,27,26,-0.550662175375314,-0.6902723454110371,-0.8390850329343571,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R
MN,2020-04-19,2356,134,735,64,32,37,nan,22,-0.44264606632987263,-0.6059612211231532,-0.9065659330417616,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D
MO,2020-04-19,5667,196,1507,80,32,37,nan,13,-0.3816147542439176,-0.5644127700460714,-0.7464027024950862,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R
MS,2020-04-19,4274,159,1493,63,32,36,16,16,-0.5167720185479722,-0.6537719711217249,-0.8621868719695281,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R
MT,2020-04-19,433,10,46,4,32,38,22,22,-0.32797934760160496,-0.5952870872991513,-0.9956944944726654,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R
NC,2020-04-19,6493,183,1973,97,32,40,20,20,-0.4325592206997117,-0.5515086717614816,-0.5827199861186676,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R
ND,2020-04-19,585,10,277,2,32,37,nan,nan,-0.4477295575327707,-0.6131436009019872,-0.9880647066433198,Trade Transportation and Utilities,92.8,No,No,No,2.3,4.2,61843,AllR,1,R
NE,2020-04-19,1473,28,668,10,32,37,nan,nan,-0.3807861547312971,-0.5155330820205544,-0.9363515686942202,Trade Transportation and Utilities,198.6,No,No,No,3.9,3.6,59970,AllR,1,R
