state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport
AK,2020-04-27,343,7,24,0,40,47,30,30,-0.32889244398184564,-0.33260509941560373,-0.9987464593481516,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R,18.5,51.6
AL,2020-04-27,6539,228,1461,64,40,45,nan,23,-0.17603272141504206,-0.380830320933982,-0.310052724679294,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R,24.3,46.2
AR,2020-04-27,3069,51,1098,9,40,47,nan,nan,-0.21361656786112265,-0.3315962290401113,-0.6658740092879023,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R,21.2,34.8
AZ,2020-04-27,6716,277,1652,86,40,47,nan,27,-0.3543834531466151,-0.5400003382217903,-0.8524152622942373,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R,25.2,51.3
CA,2020-04-27,45208,1800,11346,577,40,54,39,39,-0.367536033998648,-0.6112566068379389,-0.6893090186511494,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D,29.4,51.4
CO,2020-04-27,13804,705,3698,257,40,47,32,32,-0.357941018042136,-0.5037557051735321,-0.8836180876528374,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D,24.9,43.2
CT,2020-04-27,25997,2012,6182,681,40,48,35,35,-0.4184162235083391,-0.6052836014913501,-0.2357730905188337,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D,25.0,46.9
DC,2020-04-27,3892,185,965,80,40,47,33,26,-0.5389629973448121,-0.7895849671695037,14.91517084176868,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D,43.6,51.2
DE,2020-04-27,4162,125,1417,53,40,45,34,34,-0.36729411470755535,-0.6002320099968149,-0.1383200480357616,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D,25.9,43.1
FL,2020-04-27,32130,1087,5080,265,40,49,nan,24,-0.3837344916282891,-0.5794679437760659,0.5442155979846832,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R,27.4,48.6
