state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-03-28,102,1,81,1,10,17,0,0,-0.491048203816206,-0.5033459008950925,-0.9988303606212191,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-03-28,720,4,589,4,10,15,nan,-7,-0.3394280191286159,-0.533972172558029,-0.38333639028700695,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-03-28,409,5,291,5,10,17,nan,nan,-0.3751277603628732,-0.539111963388308,-0.7359634840258092,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-03-28,773,15,669,14,10,17,nan,-3,-0.3522554323489287,-0.5810738359113612,-0.8296596216219585,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-03-28,5565,121,4021,93,10,24,9,9,-0.4810330405514882,-0.6814218152358791,-0.7097549485319689,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-03-28,2061,44,1586,38,10,17,2,2,-0.5093208960607019,-0.7005019106423734,-0.912897873221066,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-03-28,1524,33,1301,28,10,18,5,5,-0.5194464742149727,-0.6604658273625185,-0.08505605355146384,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-03-28,304,4,227,3,10,17,3,-4,-0.6758877929442465,-0.7798786651382446,11.846097279677274,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-03-28,214,5,169,5,10,15,4,4,-0.5175786895767411,-0.7314436944443345,-0.18818853663670346,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-03-28,4038,56,3274,45,10,19,nan,-6,-0.498399388500249,-0.6432855077621161,0.41844450462782,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-03-28,2447,79,1895,59,10,14,nan,-6,-0.3893774555595209,-0.5634021066695503,-0.2506419900307376,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-03-28,151,0,103,0,10,24,3,3,-0.65779208609717,-0.6901274019875272,-0.5322363845058216,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-03-28,298,3,230,3,10,11,nan,nan,-0.4634997084092778,-0.635669587309178,-0.8195193479174757,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-03-28,261,5,219,5,10,15,3,3,-0.3775044180449023,-0.5966763809868305,-0.965984616191982,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
