state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-03-20,14,0,13,0,2,9,-8,-8,-0.3928339659046023,-0.5091191475032926,-0.9986303911299771,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-03-20,106,0,100,0,2,7,nan,-15,-0.2556474973775755,-0.6343554552531421,-0.5019969526578638,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-03-20,100,0,93,0,2,9,nan,nan,-0.2600172721157388,-0.6062134170373024,-0.7505163405180704,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-03-20,70,1,61,1,2,9,nan,-11,-0.2532988887891093,-0.6032527794556938,-0.8350153271904462,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-03-20,1283,24,963,19,2,16,1,1,-0.3815752578027367,-0.7013890373310201,-0.7154646089703494,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-03-20,364,5,286,3,2,9,-6,-6,-0.39559414645766133,-0.6879397906874288,-0.9036125232955065,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-03-20,194,4,183,4,2,10,-3,-3,-0.3751273338892495,-0.6346610937777317,0.0494942776462568,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-03-20,71,0,61,0,2,9,-5,-12,-0.5433827981712217,-0.7030561639352516,26.393077786146574,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-03-20,39,0,35,0,2,7,-4,-4,-0.2872805835204723,-0.6164804295413073,0.09509651182451616,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-03-20,564,9,494,7,2,11,nan,-14,-0.2652212830874806,-0.6042576245863963,0.7420279139776584,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-03-20,482,14,441,13,2,6,nan,-14,-0.28523222815255045,-0.6010646222544674,-0.3233111692394588,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-03-20,37,0,35,0,2,16,-5,-5,-0.3605251157658946,-0.5348760535470825,-0.2589152737713452,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-03-20,45,0,28,0,2,3,nan,nan,-0.23346507017241955,-0.6621248065340642,-0.8624639766824317,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-03-20,31,0,30,0,2,7,-5,-5,-0.24427455283843916,-0.5390809491263459,-0.9598886757967396,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
IL,2020-03-20,583,5,537,5,2,11,-1,-1,-0.2911782514756581,-0.6454897878584018,-0.3587861181814834,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D
IN,2020-03-20,79,3,67,3,2,14,-5,-5,-0.2344607552680377,-0.6150739231396108,-0.45747406519377,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R
KS,2020-03-20,49,1,43,0,2,8,nan,-10,-0.2754717891400097,-0.6094634775141661,-0.8864406131718126,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R
KY,2020-03-20,63,2,52,2,2,14,-6,-6,-0.2646357981237037,-0.6146973251735419,-0.669924567101485,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R
LA,2020-03-20,537,10,501,10,2,9,-3,-3,-0.3518700755236311,-0.6470444340773489,-0.6426350850668423,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R
MA,2020-03-20,413,1,290,1,2,10,-4,-4,-0.4233663689853717,-0.6403788253334781,0.18865981049847688,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D
MD,2020-03-20,150,2,132,2,2,15,-3,-10,-0.34684820557495155,-0.6140048767511546,0.2630395471778404,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D
ME,2020-03-20,57,0,55,0,2,5,-5,-12,-0.3634170821479517,-0.6269666655957986,-0.9567592911531808,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D
MI,2020-03-20,548,4,523,4,2,-12,-3,-4,-0.3571719126929788,-0.6463689774113679,-0.6198856105298792,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R
