state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-03-05,0,0,0,0,-13,-6,-23,-23,-0.0765033154936522,-0.017591614308470643,-0.9968109801617174,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-03-05,0,0,0,0,-13,-8,nan,-30,-0.012368562578526565,-0.14760262006599054,1.0520840467547947,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-03-05,0,0,0,0,-13,-6,nan,nan,0.012244002681213359,-0.09971471927007779,-0.07611134712704537,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-03-05,2,0,1,0,-13,-6,nan,-26,0.0056689273976290025,-0.11546639561075805,-0.4096624870243257,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-03-05,67,1,41,1,-13,1,-14,-14,-0.029867237620405777,-0.09906674927170167,0.5449129133723905,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-03-05,2,0,2,0,-13,-6,-21,-21,-0.02133628189009543,-0.07879751507307395,-0.6049435975220686,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-03-05,0,0,0,0,-13,-5,-18,-18,0.0023486530845451678,-0.07408177614109923,2.804729143774362,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-03-05,0,0,0,0,-13,-6,-20,-27,0.03584924048820022,-0.04088530154157694,246.7500602922068,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-03-05,0,0,0,0,-13,-8,-19,-19,-0.016547161770878345,-0.06935676091732591,2.216305530511165,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-03-05,4,0,4,0,-13,-4,nan,-29,-0.014928906938517663,-0.1451617302722861,5.645715821330292,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
GA,2020-03-05,2,0,2,0,-13,-9,nan,-29,-0.038924116993728795,-0.1543768309817318,1.6222804616763795,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R
HI,2020-03-05,0,0,0,0,-13,1,-20,-20,0.006676440717715012,-0.1350460430183841,1.3632649842339526,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D
IA,2020-03-05,0,0,0,0,-13,-12,nan,nan,-0.02237203577084269,-0.06183365575735358,-0.44016464010142897,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R
ID,2020-03-05,0,0,0,0,-13,-8,-20,-20,-0.09004606581232467,-0.07793404962876166,-0.8941577229401693,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R
IL,2020-03-05,5,0,3,0,-13,-4,-16,-16,-0.010499376001138577,-0.07431311353471537,1.5923488365494407,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D
IN,2020-03-05,0,0,0,0,-13,-1,-20,-20,0.012816579578360021,-0.06278037166430304,0.6865426044908756,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R
KS,2020-03-05,0,0,0,0,-13,-7,nan,-25,0.02584973371306936,-0.05955809547787505,-0.6451496424904659,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R
KY,2020-03-05,0,0,0,0,-13,-1,-21,-21,0.004660183495953672,-0.09312037547762096,0.2676523338711698,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R
LA,2020-03-05,0,0,0,0,-13,-6,-18,-18,-0.007766440701039066,-0.11442714782533495,0.720953580880084,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R
MA,2020-03-05,3,0,2,0,-13,-5,-19,-19,-0.011010902252211493,-0.0866710910035739,3.9245657329494144,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D
MD,2020-03-05,3,0,3,0,-13,0,-18,-25,0.003311580681841225,-0.09046015944177281,3.2997957765336263,Government,504.2,No,Yes,Yes,3.3,2.8,80776,AllD,5,D
ME,2020-03-05,0,0,0,0,-13,-10,-20,-27,-0.018838334078148937,-0.012386927270385506,-0.8595053809077648,Education and Health Services,130.2,No,No,Yes,3.1,3.3,56277,AllD,5,D
MI,2020-03-05,0,0,0,0,-13,-27,-18,-19,0.005079027721570449,-0.05159381559014958,0.3061527162688297,Trade Transportation and Utilities,805.6,No,No,Yes,3.8,3.1,54909,MostD,4,R
MN,2020-03-05,0,0,0,0,-13,-8,nan,-23,-0.006710229470548781,-0.045052337556553135,-0.35387113297188,Education and Health Services,549.1,No,No,No,3.2,5.4,68388,AllD,5,D
MO,2020-03-05,0,0,0,0,-13,-8,nan,-32,0.01287816945841586,-0.08789223709975627,0.10303227376690427,Trade Transportation and Utilities,543.1,No,No,No,3.5,3.5,53578,AllR,1,R
MS,2020-03-05,0,0,0,0,-13,-9,-29,-29,0.0023417891962668053,-0.10521990159543414,-0.04430603153501167,Government,243.7,No,No,No,5.5,3.5,43529,AllR,1,R
MT,2020-03-05,0,0,0,0,-13,-7,-23,-23,-0.09972231356520812,-0.03618451031794459,-0.9749002452554358,Trade Transportation and Utilities,96,No,No,No,3.5,2.9,53386,AllR,1,R
NC,2020-03-05,1,0,1,0,-13,-5,-25,-25,0.0362204539119956,-0.092481621528534,1.0627028182734757,Trade Transportation and Utilities,851.5,No,No,No,3.6,2.2,52752,MostR,2,R
ND,2020-03-05,0,0,0,0,-13,-8,nan,nan,-0.10108894212487124,-0.05112880059070486,-0.9077474174313422,Trade Transportation and Utilities,92.8,No,No,No,2.3,4.2,61843,AllR,1,R
NE,2020-03-05,13,0,0,0,-13,-8,nan,nan,-0.010644542027741209,-0.09729829561731645,-0.6966114525560818,Trade Transportation and Utilities,198.6,No,No,No,3.9,3.6,59970,AllR,1,R
NH,2020-03-05,2,0,2,0,-13,-8,-23,-23,-0.04331204009858937,-0.06596027241734341,-0.2854591632932573,Trade Transportation and Utilities,138.5,No,No,No,2.6,3.8,73381,AllD,5,D
NJ,2020-03-05,2,0,2,0,-13,-4,-16,-16,-0.00327348811636166,-0.09000266786794629,10.180230362980868,Trade Transportation and Utilities,893.7,Yes,Yes,Yes,3.8,4.8,80088,AllD,5,D
NM,2020-03-05,0,0,0,0,-13,-6,-19,-19,-0.036884126909218475,-0.05128024929780532,-0.9287797757341764,Government,189.7,No,No,No,4.8,3.7,46744,MostD,4,D
NV,2020-03-05,2,0,2,0,-13,-7,nan,-26,-0.04318383403256994,-0.09191204667979624,-0.626232700079269,Leisure and Hospitality,356.4,No,No,Yes,3.6,3.6,58003,MostD,4,D
NY,2020-03-05,22,0,22,0,-13,-2,-17,-17,-0.012941170669173623,-0.0585292690072345,5.124547712882388,Government,"1,488.10",Yes,Yes,Yes,3.8,3.6,64894,AllD,5,D
OH,2020-03-05,0,0,0,0,-13,-4,-19,-19,0.019960297032274615,-0.05946966314335736,1.7201335652814826,Trade Transportation and Utilities,"1,028.40",No,No,No,4.1,3.2,54021,Tie,3,R
OK,2020-03-05,0,0,0,0,-13,-28,-27,nan,0.018563172682741373,-0.08907566336801766,-0.08867160443592992,Government,356.6,No,No,No,3.3,3.3,50051,AllR,1,R
OR,2020-03-05,2,0,2,0,-13,-3,nan,-18,-0.03761443280551253,-0.05137177330182336,-0.7824424007249483,Trade Transportation and Utilities,359.3,Yes,Yes,Yes,3.3,4.7,60212,AllD,5,D
PA,2020-03-05,0,0,0,0,-13,-1,-18,-27,0.0063921524655383795,-0.06745687974369616,1.0256060956770998,Education and Health Services,1307,No,No,No,4.7,3.4,59195,MostD,4,R
RI,2020-03-05,2,0,2,0,-13,-4,nan,-23,-0.01507630004322281,-0.0917665741114743,3.7344724347863223,Education and Health Services,110.7,Yes,Yes,Yes,3.1,2.5,19343,AllD,5,D
SC,2020-03-05,0,0,0,0,-13,-8,nan,-33,-0.02061036460987023,-0.14409512094591792,0.8983497787081659,Trade Transportation and Utilities,410.6,No,No,No,2.4,3.3,63870,AllR,1,R
SD,2020-03-05,0,0,0,0,-13,-28,nan,nan,-0.049874284970015,-0.06285164180006374,-0.9371651290504,Trade Transportation and Utilities,86.3,No,No,No,3.4,3.4,50570,AllR,1,R
TN,2020-03-05,1,0,1,0,-13,-7,-27,-28,0.021767861888863902,-0.10293426896280736,1.4416751686466358,Trade Transportation and Utilities,653.1,No,No,No,3.3,3.5,56521,AllR,1,R
TX,2020-03-05,16,0,6,0,-13,-8,nan,-28,0.03244189527636399,-0.10251998007793288,0.8017424843137638,Trade Transportation and Utilities,"2,549.20",No,No,No,4.5,2.5,51340,AllR,1,R
UT,2020-03-05,1,0,0,0,-13,-1,nan,-22,-0.0325471215350413,-0.09915923281643892,-0.7538394103498622,Trade Transportation and Utilities,295.2,No,No,No,2.5,3.4,59206,AllR,1,R
VA,2020-03-05,0,0,0,0,-13,-7,nan,-25,0.017719982463502596,-0.10656376784969207,0.6643239079628356,Professional and Business Services,779.6,No,No,No,2.7,3.8,57513,MostD,4,D
VT,2020-03-05,0,0,0,0,-13,-8,-20,-19,-0.061273422907255036,-0.11396231394362855,-0.8538324483482608,Education and Health Services,65.4,No,Yes,Yes,2.4,2.6,68358,AllD,5,D
WA,2020-03-05,75,11,70,11,-13,5,-20,-18,-0.08250486048105568,-0.09830027269308204,-0.4166616040821175,Trade Transportation and Utilities,654.7,Yes,Yes,Yes,3.9,4.9,71535,AllD,5,D
