state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-04-08,224,5,81,3,21,28,11,11,-0.5096584756262704,-0.4610614865462622,-0.9993819390903034,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-04-08,2498,67,1392,39,21,26,nan,4,-0.33013785126482714,-0.5743890082762254,-0.5709582702165665,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-04-08,1077,18,453,8,21,28,nan,nan,-0.2622095477017973,-0.4804959994769909,-0.7738508185704646,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-04-08,2726,80,1313,51,21,28,nan,8,-0.4077161713373279,-0.6235713942828999,-0.9037837073477996,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-04-08,19043,506,9227,294,21,35,20,20,-0.4568733470053357,-0.6639473939113334,-0.8127787882548426,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-04-08,5655,192,2309,112,21,28,13,13,-0.44071118616079535,-0.6331690195425154,-0.9339381095922415,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-04-08,8781,335,5224,250,21,29,16,16,-0.4971516248381416,-0.6545393393110756,-0.4864051499981646,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-04-08,1440,27,854,16,21,28,14,7,-0.6362056148829037,-0.8159913897857862,6.932274250767737,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-04-08,1116,19,748,8,21,26,15,15,-0.4392210341395121,-0.6289605260819926,-0.4016806465394991,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-04-08,15690,322,7925,222,21,30,nan,5,-0.4667776843145156,-0.6629232508595109,-0.01967930486174252,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
