state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,daily_distance_diff,daily_visitation_diff,encounters_rate,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result
AK,2020-04-11,255,6,86,3,24,31,14,14,-0.42667078074054016,-0.460499569541507,-0.9992318087900732,Government,79.3,No,No,No,6.0,5.8,73181,AllR,1,R
AL,2020-04-11,3262,93,1630,49,24,29,nan,7,-0.40831341370716734,-0.5740032639865095,-0.3757347578379036,Government,393.5,No,No,No,2.7,2.7,48123,AllR,1,R
AR,2020-04-11,1228,25,485,11,24,31,nan,nan,-0.4015176818143737,-0.5095342527512795,-0.6999648888652126,Trade Transportation and Utilities,253.2,No,No,No,3.5,3.9,45869,AllR,1,R
AZ,2020-04-11,3393,112,1374,59,24,31,nan,11,-0.4384789156072981,-0.6155767552927033,-0.8698597217176542,Trade Transportation and Utilities,551.3,No,Yes,Yes,4.5,4.5,56581,AllR,1,R
CA,2020-04-11,22421,632,8625,309,24,38,23,23,-0.4918681283807897,-0.6750534048935004,-0.7901346404651014,Trade Transportation and Utilities,"3,062.50",Yes,Yes,Yes,3.9,2.5,71805,AllD,5,D
CO,2020-04-11,6893,274,2319,148,24,31,16,16,-0.5041820808012734,-0.6410658347366357,-0.9129610187912568,Trade Transportation and Utilities,481.5,No,No,No,2.5,2.8,69117,MostD,4,D
CT,2020-04-11,11510,494,6234,329,24,32,19,19,-0.5121082451988289,-0.6370597584240661,-0.3196185864623767,Education and Health Services,345.1,Yes,Yes,Yes,3.7,3.9,74168,AllD,5,D
DC,2020-04-11,1778,47,876,26,24,31,17,10,-0.6645928467810154,-0.8094796649118334,4.346893284182239,Government,239.7,Yes,Yes,Yes,5.2,2.8,82372,AllD,5,D
DE,2020-04-11,1479,33,886,19,24,29,18,18,-0.492320486396656,-0.671884213222337,-0.17993635988393142,Trade Transportation and Utilities,82.8,No,No,No,4.0,5.2,62852,AllD,5,D
FL,2020-04-11,18978,445,7441,251,24,33,nan,8,-0.5566937630431784,-0.6587219796485918,0.29449474616290594,Trade Transportation and Utilities,"1,823.00",No,No,No,2.8,3.1,52594,Tie,3,R
