state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport,COMMUTING TO WORK-Workers 16 years and over,"COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled",Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Estimate-COMMUTING TO WORK-Workers 16 years and over-Mean travel time to work (minutes),Labour Overall Index Score,Labour Overall Index Ranking,Wage Dimension Score,Worker Protection Dimension Score,Right to Organize Dimension Score,Wage Dimension Score 2019,Wage Dimension ranking 2019,MIT Living Wage 2019,Minimum Wage 2019,Wage Ratio (Living wage/Minimum wage),Local Control of Min. Wage 2019 (1=Yes),Worker Protection Dimension 2020 Score,Worker Protection Dimension 2020 Ranking,"Family Leave Indicator (Job-protected leave for non-FMLA Workers < 1 year on job_0.5=Yes, 0.25=Yes for Pregnant Workers only)",Family Leave Indicator ( Job-protected leave longer than Federal FMLA),Paid Family Leave (Yes=1),Paid Sick Leave Indicator Law in Place (1=Yes),Flexible Scheduling (yes=1),Reporting Pay (yes=1),Split Shift Pay 2019 (yes=1),Advanced Shift Notice 2019 (yes=1)
GA,2020-04-04,6383,208,3936,129,17,21,nan,1,-50.0,-18.0,-18.0,-53.0,-36.0,16.0,Trade Transportation and Utilities,954.3,No,No,No,3.1,2.7,56183,AllR,1,R,28.5,50.2,4667378,3708394,79.5,456908,9.8,99181,2.1,69380,1.5,79013,1.7,254502,5.5,28.4,11.4775306,48,9.432591814,13.88888889,11.11111111,9.432591814,50,25.6,7.25,0.283203125,0,13.88888889,48,0.0,0.0,0,0,0,0,0,0
HI,2020-04-04,349,3,198,3,17,31,10,10,-55.0,-29.0,-63.0,-73.0,-45.0,18.0,Leisure and Hospitality,127.6,No,No,No,2.7,2.7,77765,AllD,5,D,27.5,50.9,700228,468932,67.0,97951,14.0,45326,6.5,31742,4.5,22925,3.3,33352,4.8,27.4,58.49872048,17,21.32949478,54.16666667,100.0,21.32949478,30,32.39,10.1,0.311824637,0,54.16666667,11,0.5,0.0,0,0,0,0,0,0
IA,2020-04-04,786,11,488,8,17,18,nan,nan,-45.0,4.0,45.0,-23.0,-25.0,12.0,Trade Transportation and Utilities,308.2,No,No,No,2.8,3.1,58570,Tie,3,R,19.1,30.5,1583271,1285034,81.2,131548,8.3,17435,1.1,51801,3.3,22181,1.4,75272,4.8,19.1,24.45636696,40,15.73021198,24.30555556,33.33333333,15.73021198,39,24.3,7.25,0.298353909,0,24.30555556,35,0.25,0.0,0,0,0,0,0,0
ID,2020-04-04,1076,10,814,5,17,22,10,10,-46.0,-13.0,24.0,-30.0,-34.0,12.0,Trade Transportation and Utilities,145.7,No,No,No,2.8,3.4,52225,AllD,5,R,20.3,56.3,757408,595426,78.6,75430,10.0,5418,0.7,19434,2.6,15694,2.1,46006,6.1,20.7,19.99566308,45,9.986989242,22.22222222,27.77777778,9.986989242,48,25.48,7.25,0.284536892,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0
IL,2020-04-04,10357,248,6810,198,17,26,14,14,-51.0,-10.0,-23.0,-49.0,-36.0,15.0,Trade Transportation and Utilities,1206.2,No,No,No,3.5,3.1,62992,AllD,5,D,29.1,49.6,6124144,4476231,73.1,486708,7.9,578636,9.4,182578,3.0,109262,1.8,290729,4.7,29.0,63.40785708,15,45.77912679,44.44444444,100.0,45.77912679,18,26.57,8.25,0.310500565,1,44.44444444,16,0.0,0.0,0,0,0,0,0,0
IN,2020-04-04,3975,136,2736,98,17,29,10,10,-45.0,-13.0,41.0,-31.0,-36.0,13.0,Trade Transportation and Utilities,602,No,No,No,3.1,2.8,54181,MostR,2,R,23.0,40.1,3107072,2578594,83.0,272480,8.8,31522,1.0,64980,2.1,42893,1.4,116603,3.8,23.6,38.11528584,29,17.12363528,30.55555556,66.66666667,17.12363528,34,24.03,7.25,0.301706201,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0
KS,2020-04-04,702,21,430,15,17,23,nan,5,-50.0,-13.0,5.0,-30.0,-30.0,14.0,Trade Transportation and Utilities,268.2,No,No,No,3.1,4.2,56422,AllR,1,R,19.7,42.4,1422992,1169866,82.2,129959,9.1,6898,0.5,33452,2.4,19435,1.4,63382,4.5,19.3,23.47473419,41,14.86864702,22.22222222,33.33333333,14.86864702,41,24.47,7.25,0.296281161,0,22.22222222,37,0.0,0.0,0,0,0,0,0,0
KY,2020-04-04,909,40,515,31,17,29,9,9,-39.0,1.0,90.0,-30.0,-32.0,10.0,Trade Transportation and Utilities,400.8,No,No,No,4.3,5.2,48375,AllR,1,R,23.5,47.5,1929677,1584648,82.1,184705,9.6,20400,1.1,42943,2.2,27279,1.4,69702,3.6,23.3,36.45567048,30,17.70034476,30.55555556,61.11111111,17.70034476,32,23.92,7.25,0.303093645,0,30.55555556,25,0.0,0.0,0,0,0,0,0,0
LA,2020-04-04,12500,412,9185,275,17,24,12,12,-50.0,-12.0,-47.0,-52.0,-36.0,16.0,Trade Transportation and Utilities,378.1,No,No,No,5.1,3.2,46145,AllR,1,R,25.4,42.1,2007599,1660274,82.7,187105,9.3,25582,1.3,36198,1.8,38150,1.9,60290,3.0,25.5,23.16408099,42,12.54779853,40.27777778,16.66666667,12.54779853,45,24.94,7.25,0.290697674,0,40.27777778,18,0.25,0.25,0,0,0,0,0,0
MA,2020-04-04,11736,216,7479,172,17,25,11,11,-53.0,-19.0,29.0,-64.0,-43.0,16.0,Education and Health Services,824.2,Yes,Yes,Yes,2.8,3.6,77385,AllD,5,D,30.2,48.5,3500223,2458064,70.2,262975,7.5,358143,10.2,171603,4.9,73404,2.1,176034,5.0,29.7,85.23548296,4,72.37311554,83.33333333,100.0,72.37311554,8,27.61,12.0,0.434625136,0,83.33333333,3,0.5,0.0,1,1,0,1,0,0
