state_code,current_date,cumulative_cases_at_current_date,cumulative_deaths_at_current_date,new_cases_since_a_week_before,new_deaths_since_a_week_before,day_since_federal_family_first_act,day_since_state_emergency,day_since_statewide_neb_closure,day_since_statewide_stay_at_home,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),Paid Family Leave,Paid Sick Leave,Any Paid Time Off,MedianIncome2017,Election Results Coding,Number code,2016 result,avg_commute_time,avg_commute_time_public_transport,COMMUTING TO WORK-Workers 16 years and over,"COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- drove alone","Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled","Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Car, truck, or van -- carpooled",Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Public transportation (excluding taxicab),Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Walked,Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Other means,Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Percent Estimate-COMMUTING TO WORK-Workers 16 years and over-Worked at home,Estimate-COMMUTING TO WORK-Workers 16 years and over-Mean travel time to work (minutes),Labour Overall Index Score,Labour Overall Index Ranking,Wage Dimension Score,Worker Protection Dimension Score,Right to Organize Dimension Score,Wage Dimension Score 2019,Wage Dimension ranking 2019,MIT Living Wage 2019,Minimum Wage 2019,Wage Ratio (Living wage/Minimum wage),Local Control of Min. Wage 2019 (1=Yes),Worker Protection Dimension 2020 Score,Worker Protection Dimension 2020 Ranking,"Family Leave Indicator (Job-protected leave for non-FMLA Workers < 1 year on job_0.5=Yes, 0.25=Yes for Pregnant Workers only)",Family Leave Indicator ( Job-protected leave longer than Federal FMLA),Paid Family Leave (Yes=1),Paid Sick Leave Indicator Law in Place (1=Yes),Flexible Scheduling (yes=1),Reporting Pay (yes=1),Split Shift Pay 2019 (yes=1),Advanced Shift Notice 2019 (yes=1),Annual State GDP for 2019,U.S. State Population 2019 Estimate,U.S. State Land Area (Square Miles),State Population Per Square Mile,Unemployment Rate Jan 2020,Unemployment Rate Feb 2020,Unemployment Rate Mar 2020,Unemployment Rate Apr 2020,Unemployment Rate May 2020,Unemployment Rate Jun 2020,Unemployment Rate Jul 2020,Unemployment Rate Aug 2020,Unemployment Rate Sept 2020,Unemployment Rate Oct 2020,Unemployment Rate Nov 2020,Unemployment Rate Dec 2020,White,Black,Hispanic,Asian,American Indian/Alaska Native,Native Hawaiian/Other Pacific Islander,Multiple Races,Senior Population,Young Population,Male Population,Median household income,Poverty rate
GA,2020-02-15,0,0,0,0,-32,-28,nan,-48,5.0,1.0,42.0,4.0,1.0,-1.0,Trade Transportation and Utilities,954.3,No,No,No,56183.0,AllR,1.0,R,28.5,50.2,4667378.0,3708394.0,79.5,456908.0,9.8,99181.0,2.1,69380.0,1.5,79013.0,1.7,254502.0,5.5,28.4,11.4775306,48.0,9.432591814,13.88888889,11.11111111,9.432591814,50.0,25.6,7.25,0.283203125,0.0,13.88888889,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616333000000.0,10617423,57513.49,184.6075243,3.1,3.1,4.6,12.6,9.4,7.6,7.6,5.7,6.3,4.5,5.7,5.6,0.52,0.313,0.098,0.041,0.002,0.001,0.025,14.3,19.5,48.7,61980.0,13.3
HI,2020-02-15,0,0,0,0,-32,-18,-39,-39,2.0,2.0,19.0,4.0,-1.0,0.0,Leisure and Hospitality,127.6,No,No,No,77765.0,AllD,5.0,D,27.5,50.9,700228.0,468932.0,67.0,97951.0,14.0,45326.0,6.5,31742.0,4.5,22925.0,3.3,33352.0,4.8,27.4,58.49872048,17.0,21.32949478,54.16666667,100.0,21.32949478,30.0,32.39,10.1,0.311824637,0.0,54.16666667,11.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97281700000.0,1415872,6422.63,220.4505008,2.7,2.7,2.4,23.8,23.5,13.4,13.5,13.0,15.0,14.2,10.4,9.3,0.204,0.012,0.103,0.394,0.001,0.102,0.184,19.0,17.8,50.0,83102.0,9.3
IA,2020-02-15,0,0,0,0,-32,-31,nan,nan,8.0,13.0,24.0,0.0,3.0,-1.0,Trade Transportation and Utilities,308.2,No,No,No,58570.0,Tie,3.0,R,19.1,30.5,1583271.0,1285034.0,81.2,131548.0,8.3,17435.0,1.1,51801.0,3.3,22181.0,1.4,75272.0,4.8,19.1,24.45636696,40.0,15.73021198,24.30555556,33.33333333,15.73021198,39.0,24.3,7.25,0.298353909,0.0,24.30555556,35.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194789000000.0,3155070,55857.13,56.48464216,2.8,2.8,3.3,11.0,10.2,8.4,6.8,6.3,4.8,3.7,3.8,3.1,0.853,0.039,0.063,0.023,0.003,0.001,0.019,17.5,19.0,49.8,61691.0,11.2
ID,2020-02-15,0,0,0,0,-32,-27,-39,-39,3.0,3.0,7.0,0.0,-1.0,0.0,Trade Transportation and Utilities,145.7,No,No,No,52225.0,AllD,5.0,R,20.3,56.3,757408.0,595426.0,78.6,75430.0,10.0,5418.0,0.7,19434.0,2.6,15694.0,2.1,46006.0,6.1,20.7,19.99566308,45.0,9.986989242,22.22222222,27.77777778,9.986989242,48.0,25.48,7.25,0.284536892,0.0,22.22222222,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80911000000.0,1787065,82643.12,21.62388109,2.8,2.7,2.5,11.8,9.0,5.8,5.1,4.2,6.1,5.5,4.9,4.4,0.816,0.007,0.129,0.012,0.009,,0.026,16.2,20.7,50.3,60999.0,11.2
IL,2020-02-15,2,0,0,0,-32,-23,-35,-35,4.0,3.0,10.0,3.0,3.0,-1.0,Trade Transportation and Utilities,1206.2,No,No,No,62992.0,AllD,5.0,D,29.1,49.6,6124144.0,4476231.0,73.1,486708.0,7.9,578636.0,9.4,182578.0,3.0,109262.0,1.8,290729.0,4.7,29.0,63.40785708,15.0,45.77912679,44.44444444,100.0,45.77912679,18.0,26.57,8.25,0.310500565,1.0,44.44444444,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,897124000000.0,12671821,55518.93,228.2432496,3.5,3.4,4.2,17.2,15.3,14.5,11.5,11.0,10.4,7.4,6.9,7.6,0.609,0.136,0.176,0.056,0.001,0.001,0.022,16.1,18.3,49.1,69187.0,11.5
IN,2020-02-15,0,0,0,0,-32,-20,-39,-39,9.0,4.0,16.0,7.0,0.0,-1.0,Trade Transportation and Utilities,602,No,No,No,54181.0,MostR,2.0,R,23.0,40.1,3107072.0,2578594.0,83.0,272480.0,8.8,31522.0,1.0,64980.0,2.1,42893.0,1.4,116603.0,3.8,23.6,38.11528584,29.0,17.12363528,30.55555556,66.66666667,17.12363528,34.0,24.03,7.25,0.301706201,0.0,30.55555556,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377104000000.0,6732219,35826.11,187.913759,3.1,3.1,3.0,17.5,12.3,11.1,7.9,6.4,6.3,5.5,5.1,4.3,0.786,0.092,0.072,0.024,0.002,,0.023,16.1,19.3,49.3,57603.0,11.9
KS,2020-02-15,0,0,0,0,-32,-26,nan,-44,4.0,0.0,9.0,2.0,2.0,0.0,Trade Transportation and Utilities,268.2,No,No,No,56422.0,AllR,1.0,R,19.7,42.4,1422992.0,1169866.0,82.2,129959.0,9.1,6898.0,0.5,33452.0,2.4,19435.0,1.4,63382.0,4.5,19.3,23.47473419,41.0,14.86864702,22.22222222,33.33333333,14.86864702,41.0,24.47,7.25,0.296281161,0.0,22.22222222,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173143000000.0,2913314,81758.72,35.63306764,3.1,3.1,2.8,11.9,10.0,7.5,7.2,6.9,5.9,5.0,5.1,3.8,0.757,0.055,0.122,0.028,0.006,,0.032,16.4,20.1,49.6,62087.0,11.4
KY,2020-02-15,0,0,0,0,-32,-20,-40,-40,8.0,4.0,37.0,9.0,1.0,-1.0,Trade Transportation and Utilities,400.8,No,No,No,48375.0,AllR,1.0,R,23.5,47.5,1929677.0,1584648.0,82.1,184705.0,9.6,20400.0,1.1,42943.0,2.2,27279.0,1.4,69702.0,3.6,23.3,36.45567048,30.0,17.70034476,30.55555556,61.11111111,17.70034476,32.0,23.92,7.25,0.303093645,0.0,30.55555556,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214671000000.0,4467673,39486.34,113.1447736,4.3,4.2,5.2,16.6,10.9,4.4,4.5,7.5,5.6,7.3,5.7,6.0,0.845,0.08,0.037,0.016,0.001,,0.02,16.9,18.5,49.2,52295.0,16.3
LA,2020-02-15,0,0,0,0,-32,-25,-37,-37,8.0,6.0,26.0,13.0,2.0,-1.0,Trade Transportation and Utilities,378.1,No,No,No,46145.0,AllR,1.0,R,25.4,42.1,2007599.0,1660274.0,82.7,187105.0,9.3,25582.0,1.3,36198.0,1.8,38150.0,1.9,60290.0,3.0,25.5,23.16408099,42.0,12.54779853,40.27777778,16.66666667,12.54779853,45.0,24.94,7.25,0.290697674,0.0,40.27777778,18.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,263857000000.0,4648794,43203.9,107.6012582,5.3,5.2,6.7,15.1,14.2,9.5,9.4,7.7,8.0,9.4,8.5,7.2,0.588,0.319,0.052,0.017,0.005,,0.019,16.0,19.5,48.8,51073.0,19.0
MA,2020-02-15,1,0,0,0,-32,-24,-38,-38,2.0,-4.0,0.0,3.0,-2.0,0.0,Education and Health Services,824.2,Yes,Yes,Yes,77385.0,AllD,5.0,D,30.2,48.5,3500223.0,2458064.0,70.2,262975.0,7.5,358143.0,10.2,171603.0,4.9,73404.0,2.1,176034.0,5.0,29.7,85.23548296,4.0,72.37311554,83.33333333,100.0,72.37311554,8.0,27.61,12.0,0.434625136,0.0,83.33333333,3.0,0.5,0.0,1.0,1.0,0.0,1.0,0.0,0.0,595559000000.0,6892503,7800.06,883.6474335,2.8,2.8,2.8,16.2,16.6,17.7,16.2,11.4,9.8,7.4,6.7,7.4,0.705,0.07,0.124,0.067,0.002,0.001,0.032,17.0,16.1,48.5,85843.0,9.4
MD,2020-02-15,0,0,0,0,-32,-19,-37,-44,2.0,0.0,4.0,1.0,0.0,-1.0,Government,504.2,No,Yes,Yes,80776.0,AllD,5.0,D,30.7,49.9,3021967.0,2233034.0,73.9,273373.0,9.0,258397.0,8.6,70350.0,2.3,44388.0,1.5,142425.0,4.7,32.9,70.55348996,13.0,58.88269209,52.77777778,100.0,58.88269209,12.0,29.53,10.1,0.342025059,1.0,52.77777778,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,428339000000.0,6045680,9707.24,622.8011258,3.3,3.3,3.3,10.1,10.0,8.3,7.8,7.0,7.6,7.7,6.8,6.3,0.499,0.296,0.106,0.064,0.002,,0.032,15.9,18.3,48.4,86738.0,9.0
ME,2020-02-15,0,0,0,0,-32,-29,-39,-46,4.0,-3.0,-6.0,13.0,-3.0,1.0,Education and Health Services,130.2,No,No,Yes,56277.0,AllD,5.0,D,22.9,38.2,651799.0,511466.0,78.5,62978.0,9.7,4159.0,0.6,25602.0,3.9,10069.0,1.5,37525.0,5.8,24.0,83.98770175,5.0,97.79643857,54.16666667,100.0,97.79643857,2.0,25.25,11.0,0.435643564,1.0,54.16666667,11.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67518600000.0,1344212,30842.92,43.58251424,3.1,3.2,3.0,10.4,9.4,6.7,9.9,7.0,6.1,5.4,4.9,4.9,0.932,0.014,0.017,0.011,0.007,,0.019,21.3,14.9,48.8,58924.0,10.9
MI,2020-02-15,0,0,0,0,-32,-46,-37,-38,2.0,0.0,15.0,5.0,4.0,0.0,Trade Transportation and Utilities,805.6,No,No,Yes,54909.0,MostD,4.0,R,24.4,43.2,4504994.0,3714050.0,82.4,396427.0,8.8,61568.0,1.4,101150.0,2.2,56802.0,1.3,174997.0,3.9,24.5,38.38044125,28.0,54.03021263,27.77777778,33.33333333,54.03021263,13.0,24.2,9.45,0.390495868,0.0,27.77777778,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541551000000.0,9986857,56538.9,176.6369172,3.8,3.6,4.3,24.0,21.3,14.9,8.7,8.7,8.6,6.1,7.0,7.5,0.749,0.134,0.053,0.032,0.005,,0.027,17.7,17.7,49.2,59584.0,13.0
MN,2020-02-15,0,0,0,0,-32,-27,nan,-42,6.0,2.0,13.0,5.0,1.0,-1.0,Education and Health Services,549.1,No,No,No,68388.0,AllD,5.0,D,23.7,37.9,2879806.0,2243581.0,77.9,244564.0,8.5,103390.0,3.6,78319.0,2.7,47012.0,1.6,162940.0,5.7,23.5,74.11829487,10.0,73.74377349,48.61111111,100.0,73.74377349,7.0,26.1,9.86,0.377777778,1.0,48.61111111,15.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380855000000.0,5639632,79626.74,70.82585574,3.2,3.1,2.9,8.7,9.9,8.6,7.6,7.4,5.9,4.6,4.5,4.4,0.791,0.064,0.056,0.049,0.009,,0.03,16.3,19.2,49.7,74593.0,9.0
MO,2020-02-15,0,0,0,0,-32,-27,nan,-51,5.0,4.0,11.0,1.0,4.0,-1.0,Trade Transportation and Utilities,543.1,No,No,No,53578.0,AllR,1.0,R,23.8,49.1,2855663.0,2338107.0,81.9,250024.0,8.8,40311.0,1.4,55495.0,1.9,33976.0,1.2,137750.0,4.8,23.6,40.22631361,26.0,31.79005195,22.22222222,66.66666667,31.79005195,26.0,25.52,8.6,0.336990596,0.0,22.22222222,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332082000000.0,6137428,68741.52,89.28269261,3.5,3.5,3.9,10.2,10.1,7.8,6.9,7.0,4.8,4.6,4.5,5.8,0.794,0.112,0.043,0.021,0.004,0.001,0.026,17.2,18.6,49.0,57409.0,12.9
MS,2020-02-15,0,0,0,0,-32,-28,-48,-48,8.0,6.0,17.0,8.0,1.0,-1.0,Government,243.7,No,No,No,43529.0,AllR,1.0,R,23.0,38.6,1215697.0,1037238.0,85.3,111401.0,9.2,3393.0,0.3,17028.0,1.4,18858.0,1.6,27779.0,2.3,24.6,7.180489298,50.0,15.98591234,0.0,5.555555556,15.98591234,37.0,24.25,7.25,0.298969072,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118780000000.0,2976149,46923.27,63.42586525,5.5,5.4,5.1,16.3,10.5,8.8,9.4,7.8,7.2,7.4,6.3,6.2,0.566,0.376,0.03,0.01,0.004,,0.014,16.4,19.5,48.2,45792.0,19.6
MT,2020-02-15,0,0,0,0,-32,-26,-42,-42,4.0,2.0,-8.0,2.0,0.0,0.0,Trade Transportation and Utilities,96,No,No,No,53386.0,AllR,1.0,R,17.3,33.9,499849.0,378154.0,75.7,48075.0,9.6,3852.0,0.8,25889.0,5.2,11376.0,2.3,32503.0,6.5,18.0,40.05461396,27.0,29.19161964,24.30555556,66.66666667,29.19161964,27.0,25.7,8.5,0.3307393,0.0,24.30555556,35.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52169100000.0,1068778,145545.8,7.343241784,3.5,3.5,3.6,11.9,9.0,7.2,6.5,5.8,5.4,5.0,4.6,4.4,0.861,0.006,0.037,0.008,0.061,,0.028,19.5,17.6,50.3,57153.0,12.6
NC,2020-02-15,0,0,0,0,-32,-24,-44,-44,6.0,-1.0,23.0,4.0,-1.0,-1.0,Trade Transportation and Utilities,851.5,No,No,No,52752.0,MostR,2.0,R,24.4,41.8,4660377.0,3781646.0,81.1,434180.0,9.3,47381.0,1.0,85152.0,1.8,58980.0,1.3,253038.0,5.4,24.5,11.81737945,47.0,13.22991613,22.22222222,0.0,13.22991613,43.0,24.8,7.25,0.29233871,0.0,22.22222222,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587711000000.0,10488084,48617.91,215.724699,3.6,3.6,4.3,12.9,12.8,7.5,8.5,6.5,7.2,6.2,6.2,6.2,0.627,0.209,0.097,0.029,0.011,0.001,0.026,16.7,18.1,48.6,57341.0,13.6
