state_code,travel_distance_metric,visitation_metric,encounters_metric,date_converted,intervention
CT,-0.415907845,-0.625330174,-0.391833717,20200325,1
CT,-0.392912308,-0.5893874720000001,-0.33221692,20200324,1
CT,-0.41437387,-0.64803537,-0.384409885,20200323,1
CT,-0.484197789,-0.60649408,-0.272457978,20200322,1
CT,-0.446156366,-0.638188556,-0.46313545899999997,20200321,1
CT,-0.375127334,-0.634661094,-0.16514515800000001,20200320,1
CT,-0.32671981899999997,-0.550033419,-0.08065626099999999,20200319,1
CT,-0.25377193600000003,-0.453869265,0.059676136,20200318,0
CT,-0.228072122,-0.418903595,0.130586979,20200317,0
CT,-0.217485192,-0.28381708699999997,0.451123375,20200316,0
CT,-0.238774425,-0.282449171,0.28422606300000003,20200315,0
CT,-0.30605706,-0.31744139,0.76321508,20200314,0
CT,-0.217665512,-0.22057711300000002,1.250099591,20200313,0
CT,-0.160056578,-0.11522544800000001,1.929964974,20200312,0
DC,-0.6000930489999999,-0.750217818,14.59659805,20200325,1
DC,-0.584400135,-0.7082407079999999,17.59216438,20200324,1
DC,-0.573125188,-0.702126678,16.56779636,20200323,1
DC,-0.6339928779999999,-0.7509791029999999,10.69437774,20200322,1
DC,-0.577157603,-0.711499001,10.41877335,20200321,1
DC,-0.543382798,-0.703056164,19.5848583,20200320,1
DC,-0.5100103229999999,-0.659474542,27.76035405,20200319,1
DC,-0.414439275,-0.644210342,29.03038614,20200318,0
DC,-0.349245286,-0.558533396,39.15123429,20200317,0
DC,-0.292521693,-0.468145961,40.82686801,20200316,0
DC,-0.332007035,-0.484671406,21.45267298,20200315,0
DC,-0.13395598,-0.40988399600000003,36.47784616,20200314,0
DC,-0.11673215699999999,-0.24320293,100.39426490000001,20200313,0
DC,0.022506208,-0.156764225,157.9779245,20200312,0
DE,-0.367790561,-0.63567174,-0.44650887200000006,20200325,1
DE,-0.337414371,-0.6120329720000001,-0.39289988299999995,20200324,1
DE,-0.34111787200000004,-0.539486748,-0.207460641,20200323,1
DE,-0.428456245,-0.628095104,-0.302296195,20200322,1
DE,-0.37399717600000004,-0.669312373,-0.507184354,20200321,1
DE,-0.287280584,-0.61648043,-0.12021353800000001,20200320,1
DE,-0.23000742300000002,-0.51668268,0.016603411000000002,20200319,1
DE,-0.169963477,-0.44285238,0.080201852,20200318,0
DE,-0.153553627,-0.341811297,0.21138969600000002,20200317,0
DE,-0.149281699,-0.21055589600000002,0.48493526299999995,20200316,0
DE,-0.17685364899999997,-0.213414977,0.36040437700000005,20200315,0
DE,-0.24532670899999998,-0.285637602,0.862358283,20200314,0
DE,-0.14896252199999999,-0.135532612,1.3577114419999998,20200313,0
DE,-0.082097189,-0.083797215,1.488891257,20200312,0
FL,-0.336525739,-0.559378159,0.185248616,20200325,1
FL,-0.338129666,-0.553838178,0.18463827100000002,20200324,1
FL,-0.35352451799999995,-0.548324658,0.23938357899999999,20200323,1
FL,-0.434072323,-0.6065610570000001,0.062003509000000005,20200322,1
FL,-0.369398213,-0.601868515,-0.299256384,20200321,1
FL,-0.26522128300000003,-0.604257625,0.26829580199999997,20200320,1
FL,-0.204280828,-0.467049285,0.969268625,20200319,1
FL,-0.125157491,-0.335328228,1.287386767,20200318,0
FL,-0.081367101,-0.233347153,1.784586831,20200317,0
FL,-0.09091616,-0.176953472,2.045917502,20200316,0
FL,-0.073280579,-0.179652757,2.3030122090000003,20200315,0
FL,-0.132965441,-0.252403914,3.341083363,20200314,0
FL,-0.019307258,-0.06180809,4.160238898999999,20200313,0
FL,-0.013892429,-0.018209951000000002,4.381043585,20200312,0
GA,-0.249361492,-0.509066311,-0.428135174,20200325,1
GA,-0.275387427,-0.520942323,-0.46370456600000004,20200324,1
GA,-0.278298084,-0.504704323,-0.42404236700000003,20200323,1
GA,-0.398763104,-0.5550207739999999,-0.504294348,20200322,1
GA,-0.339953965,-0.581023936,-0.670364626,20200321,1
GA,-0.28523222800000003,-0.601064622,-0.43107920899999996,20200320,1
GA,-0.167874245,-0.445483275,-0.165017742,20200319,1
GA,-0.131464419,-0.363673714,-0.127170864,20200318,0
GA,-0.10747102900000001,-0.288305037,0.004558217,20200317,0
GA,-0.12611239900000001,-0.22385328100000002,0.139828758,20200316,0
GA,-0.15772435699999998,-0.223189699,-0.002591659,20200315,0
GA,-0.20764785100000002,-0.254524436,0.644097889,20200314,0
GA,-0.124596365,-0.09125464300000001,1.220386763,20200313,0
GA,-0.027724606000000002,0.022282787000000002,1.599197354,20200312,0
HI,-0.42706747,-0.6115612739999999,-0.578961496,20200325,1
HI,-0.3649549,-0.573017453,-0.502176307,20200324,1
HI,-0.260129006,-0.513888488,-0.33992265899999996,20200323,1
HI,-0.26417161699999997,-0.5393454010000001,-0.43250271,20200322,1
HI,-0.41779518200000004,-0.577544163,-0.7225697879999999,20200321,1
HI,-0.36052511600000003,-0.5348760539999999,-0.42248693299999995,20200320,1
HI,-0.138881884,-0.385152516,-0.104343245,20200319,1
HI,-0.007985942,-0.23319714600000002,0.129662413,20200318,0
HI,0.130578566,-0.155580319,0.261017772,20200317,0
HI,0.061465408,-0.076608312,0.535552516,20200316,0
HI,0.07942974,-0.084249373,0.45105777399999997,20200315,0
HI,0.099915638,-0.080893659,0.9113174190000001,20200314,0
HI,0.291645677,0.049784724,1.195158803,20200313,0
HI,0.239097593,-0.011932451,0.988827435,20200312,0
IA,-0.20751679999999997,-0.51935651,-0.880992841,20200325,1
IA,-0.220317655,-0.5187553570000001,-0.8801267779999999,20200324,1
IA,-0.221718737,-0.531959173,-0.878803315,20200323,1
IA,-0.37537928,-0.639009085,-0.8973847309999999,20200322,1
IA,-0.328889357,-0.6805079079999999,-0.9276395059999999,20200321,1
IA,-0.23346507,-0.662124807,-0.886580794,20200320,1
IA,-0.168932492,-0.536177835,-0.856039198,20200319,1
IA,-0.098677389,-0.456912105,-0.846077236,20200318,0
IA,-0.066796231,-0.34708128299999996,-0.807379189,20200317,0
IA,-0.080070118,-0.199274874,-0.743477092,20200316,0
IA,-0.125724693,-0.191470282,-0.762032458,20200315,0
IA,-0.24440673,-0.275855803,-0.66033759,20200314,0
IA,-0.020873355,-0.087157828,-0.587155849,20200313,0
IA,-0.014348833,-0.023801022999999998,-0.532186355,20200312,0
ID,-0.223454282,-0.44248897200000004,-0.96385022,20200325,1
ID,-0.22239874199999998,-0.429873745,-0.96739919,20200324,1
ID,-0.25755075899999996,-0.41806177299999997,-0.966249769,20200323,1
ID,-0.25368442399999996,-0.417170695,-0.974180243,20200322,1
ID,-0.243494515,-0.502587559,-0.980780138,20200321,1
ID,-0.244274553,-0.539080949,-0.9682292640000001,20200320,1
ID,-0.18079142899999998,-0.39577448299999995,-0.9584279520000001,20200319,1
ID,-0.141658073,-0.291654457,-0.952548717,20200318,0
ID,-0.128793342,-0.202182864,-0.946485294,20200317,0
ID,-0.16287310900000002,-0.147954047,-0.9360982929999999,20200316,0
ID,-0.21591944300000002,-0.157330028,-0.955911038,20200315,0
ID,-0.292882219,-0.20763606399999998,-0.9234745390000001,20200314,0
ID,-0.192499773,-0.098415925,-0.896992805,20200313,0
ID,-0.139989915,-0.072014759,-0.906749253,20200312,0
IL,-0.307111878,-0.589801159,-0.603267894,20200325,1
IL,-0.31251746399999997,-0.61426087,-0.633460838,20200324,1
IL,-0.361340449,-0.647739453,-0.65678965,20200323,1
IL,-0.522873942,-0.75257999,-0.75907164,20200322,1
IL,-0.407101899,-0.6853590559999999,-0.745255728,20200321,1
IL,-0.291178251,-0.645488993,-0.503045679,20200320,1
IL,-0.24926489999999998,-0.541128933,-0.40257941399999997,20200319,1
IL,-0.17266742100000002,-0.479925306,-0.40729331,20200318,0
IL,-0.135754721,-0.380386446,-0.24902369600000002,20200317,0
IL,-0.150312943,-0.27498375199999997,0.03736627,20200316,0
IL,-0.18074964300000002,-0.239848297,-0.081050957,20200315,0
IL,-0.24167378399999997,-0.289857612,0.236136163,20200314,0
IL,-0.1156606,-0.08490535199999999,0.9759219309999999,20200313,0
IL,-0.092780599,-0.034259122,1.066539656,20200312,0
IN,-0.262664623,-0.596004714,-0.7160648209999999,20200325,1
IN,-0.215613555,-0.499085813,-0.622258772,20200324,1
IN,-0.209467679,-0.47277410799999997,-0.5542216999999999,20200323,1
IN,-0.382217859,-0.610473973,-0.6969595940000001,20200322,1
IN,-0.33774680100000004,-0.6395375729999999,-0.763635532,20200321,1
IN,-0.234460755,-0.615073923,-0.596513811,20200320,1
IN,-0.14653496300000002,-0.485901089,-0.45606412399999996,20200319,1
IN,-0.089439449,-0.417380656,-0.490529603,20200318,0
IN,-0.09216650300000001,-0.345390646,-0.397172025,20200317,0
IN,-0.095307893,-0.205759818,-0.22034376,20200316,0
IN,-0.165168926,-0.19418028,-0.315600901,20200315,0
IN,-0.308585977,-0.323788929,-0.11325038300000001,20200314,0
IN,-0.129302194,-0.112857919,0.330737089,20200313,0
IN,-0.085676945,-0.058303992,0.3030144,20200312,0
KS,-0.24663850699999998,-0.486140158,-0.916171807,20200325,1
KS,-0.267043751,-0.508407709,-0.9187789470000001,20200324,1
KS,-0.263424224,-0.456117516,-0.899006018,20200323,1
KS,-0.36327636399999996,-0.57187239,-0.9125841920000001,20200322,1
KS,-0.339365917,-0.6325879870000001,-0.9482383790000001,20200321,1
KS,-0.27547178899999997,-0.609463478,-0.907919661,20200320,1
KS,-0.184178271,-0.448928426,-0.876169964,20200319,1
KS,-0.079711682,-0.316789155,-0.868340892,20200318,0
KS,-0.061606597,-0.242292129,-0.85445828,20200317,0
KS,-0.081245737,-0.18374442300000002,-0.838862516,20200316,0
KS,-0.10222778800000001,-0.227427291,-0.8561565090000001,20200315,0
KS,-0.2196037,-0.28060231399999996,-0.775855465,20200314,0
KS,-0.089497775,-0.053852335,-0.727471166,20200313,0
KS,0.022520004,0.056240717,-0.6958150390000001,20200312,0
KY,-0.228600589,-0.494316501,-0.7397864759999999,20200325,1
KY,-0.247388898,-0.531675613,-0.764237638,20200324,1
KY,-0.23529866600000002,-0.453342514,-0.71358586,20200323,1
KY,-0.362742732,-0.563335733,-0.7839003809999999,20200322,1
KY,-0.327632372,-0.6325054929999999,-0.862837779,20200321,1
KY,-0.26463579800000003,-0.614697325,-0.7472117540000001,20200320,1
KY,-0.17612582899999998,-0.500204935,-0.632185519,20200319,1
KY,-0.124968516,-0.389567473,-0.601241647,20200318,0
KY,-0.107223915,-0.332856317,-0.560323191,20200317,0
KY,-0.12041564699999999,-0.233430862,-0.47674672799999995,20200316,0
KY,-0.164931234,-0.24456027100000002,-0.5634394070000001,20200315,0
KY,-0.27259475899999996,-0.307891882,-0.39388335799999996,20200314,0
KY,-0.141627264,-0.09298460900000001,-0.069822273,20200313,0
KY,-0.128696079,-0.095621815,-0.089312289,20200312,0
LA,-0.279261407,-0.551035532,-0.7390956040000001,20200325,1
LA,-0.314394086,-0.58565945,-0.756869447,20200324,1
LA,-0.30257423699999997,-0.5219947220000001,-0.672189492,20200323,1
LA,-0.408918629,-0.557537309,-0.7134708390000001,20200322,1
LA,-0.424185793,-0.660547776,-0.854801567,20200321,1
LA,-0.35187007600000003,-0.647044434,-0.7068854929999999,20200320,1
LA,-0.21218393300000002,-0.491682079,-0.5329170010000001,20200319,1
LA,-0.139043938,-0.37078216399999997,-0.511836001,20200318,0
LA,-0.123259199,-0.321376965,-0.43715718299999995,20200317,0
LA,-0.08915690400000001,-0.178600815,-0.23436069399999998,20200316,0
LA,-0.10824764,-0.160021939,-0.37416802299999996,20200315,0
LA,-0.1915429,-0.218067488,0.030890841000000002,20200314,0
LA,-0.10794433,-0.002692054,0.57668621,20200313,0
LA,-0.027629873,0.050289649000000006,0.42321970299999995,20200312,0
MA,-0.47880977700000005,-0.6718251390000001,-0.392298218,20200325,1
MA,-0.46211854700000005,-0.638122551,-0.322472264,20200324,1
MA,-0.444540974,-0.586205805,-0.154389828,20200323,1
MA,-0.526932452,-0.6354691889999999,-0.295162753,20200322,1
MA,-0.470268306,-0.651202115,-0.456663473,20200321,1
MA,-0.42336636899999996,-0.640392813,-0.075072325,20200320,1
MA,-0.381097774,-0.587001586,-0.027343851000000002,20200319,1
MA,-0.29765954899999997,-0.483991231,0.158590638,20200318,0
MA,-0.27907248,-0.455137862,0.20866743199999999,20200317,0
MA,-0.24560760199999998,-0.328615985,0.525115231,20200316,0
MA,-0.261113869,-0.30526119399999996,0.407043411,20200315,0
MA,-0.274374808,-0.33594922,0.8902400559999999,20200314,0
MA,-0.209278217,-0.25125687,1.656717222,20200313,0
MA,-0.16723713699999998,-0.14627907099999998,2.5597940809999997,20200312,0
MD,-0.380543599,-0.620683877,-0.25568704,20200325,1
MD,-0.365683485,-0.5756410829999999,-0.162865611,20200324,1
MD,-0.373046638,-0.557633892,-0.040610562,20200323,1
MD,-0.462221879,-0.608892549,-0.150633018,20200322,1
MD,-0.425724626,-0.62815413,-0.35532637200000006,20200321,1
MD,-0.346848206,-0.6140048770000001,0.044698608,20200320,1
MD,-0.27353286,-0.501276399,0.333489633,20200319,1
MD,-0.211131207,-0.434407472,0.356416281,20200318,0
MD,-0.169284026,-0.38151840600000003,0.543214251,20200317,0
MD,-0.17436621100000002,-0.25196553,0.9666427459999999,20200316,0
MD,-0.21902835399999998,-0.277057336,0.528093071,20200315,0
MD,-0.229024743,-0.260993057,1.313740372,20200314,0
MD,-0.16171840199999998,-0.144831769,2.313460476,20200313,0
MD,-0.106547525,-0.068077036,2.6454224230000003,20200312,0
ME,-0.334160191,-0.547993605,-0.9682697490000001,20200325,1
ME,-0.35992594899999997,-0.5269639779999999,-0.970497395,20200324,1
ME,-0.357128016,-0.512768306,-0.9655100459999999,20200323,1
ME,-0.38356423100000003,-0.5349626129999999,-0.9692040209999999,20200322,1
ME,-0.375633944,-0.575457286,-0.9756754529999999,20200321,1
ME,-0.363417082,-0.6269666660000001,-0.96673799,20200320,1
ME,-0.25250966199999997,-0.486704464,-0.9595199520000001,20200319,1
ME,-0.237533351,-0.389847341,-0.9540355420000001,20200318,0
ME,-0.204655378,-0.33407045,-0.952878607,20200317,0
ME,-0.205679047,-0.225265721,-0.9410231929999999,20200316,0
ME,-0.205045001,-0.146497654,-0.934468073,20200315,0
ME,-0.255242443,-0.186869652,-0.910542188,20200314,0
ME,-0.216780156,-0.194134875,-0.9029554129999999,20200313,0
ME,-0.100080981,-0.013294335,-0.891794869,20200312,0
MI,-0.434646288,-0.6544118879999999,-0.813291731,20200325,1
MI,-0.45139376200000003,-0.698488455,-0.8380310190000001,20200324,1
MI,-0.306213098,-0.47680031799999995,-0.650097505,20200323,1
MI,-0.45264515,-0.622883008,-0.7856246240000001,20200322,1
MI,-0.43078217,-0.655319171,-0.8385249309999999,20200321,1
MI,-0.35717191299999995,-0.646381457,-0.719399185,20200320,1
MI,-0.254619488,-0.51562564,-0.633812217,20200319,1
MI,-0.197113743,-0.455678089,-0.648603054,20200318,0
MI,-0.18058074100000002,-0.406429019,-0.5993002629999999,20200317,0
MI,-0.16657071099999998,-0.285381968,-0.475708577,20200316,0
MI,-0.214387253,-0.255285083,-0.569052484,20200315,0
MI,-0.331860665,-0.345841609,-0.44055649999999996,20200314,0
MI,-0.20922418399999998,-0.215768989,-0.152757057,20200313,0
MI,-0.112467434,-0.102359139,0.018431252,20200312,0
MN,-0.347163956,-0.537398907,-0.8888633640000001,20200325,1
MN,-0.342742573,-0.555007599,-0.899553305,20200324,1
MN,-0.345705335,-0.546673773,-0.89208913,20200323,1
MN,-0.467436233,-0.640036861,-0.911152346,20200322,1
MN,-0.46844546200000003,-0.675901064,-0.9334596,20200321,1
MN,-0.378512416,-0.659495878,-0.8878422709999999,20200320,1
MN,-0.317515095,-0.569168499,-0.875255342,20200319,1
MN,-0.234973662,-0.480792692,-0.856607675,20200318,0
MN,-0.190031395,-0.323880026,-0.8091300990000001,20200317,0
MN,-0.191920562,-0.200547187,-0.76961241,20200316,0
MN,-0.208182587,-0.205005532,-0.7837560290000001,20200315,0
