State,Abbreviation,state_code,Largest Employer,Type of Industry,"Dominant Sector (BLS, Feb. 2020)",Raw # of employees (in thousands),2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2018Q1P,2018Q2P,2018Q3P,2018Q4P,2019Q1P,2019Q2P,2019Q3P,2019Q4P,Paid Family Leave,Paid Sick Leave,Any Paid Time Off,Reference(Paid Sick Leave),Unemployment Rate Feb 2020,Unemployment Rate Jan 2021,MedianIncome2017,federal_family_first_act_date,cumulative_cases_at_ff_act,cumulative_deaths_at_ff_act,new_cases_since_week_before_ff_act,new_death_since_week_before_ff_act,weekly_avg_change_in_avg_distance_after_federal_ff_act,weekly_avg_change_in_visitation_after_federal_ff_act,weekly_avg_change_in_encounter_after_federal_ff_act,state_emerg_date,cumulative_cases_at_state_emerg,cumulative_deaths_at_state_emerg,new_cases_since_week_before_state_emerg,new_death_since_week_before_state_emerg,weekly_avg_change_in_avg_distance_after_state_emerg,weekly_avg_change_in_visitation_after_state_emerg,weekly_avg_change_in_encounter_after_state_emerg,statewide_neb_closure_date,cumulative_cases_at_neb_closure,cumulative_deaths_at_neb_closure,new_cases_since_week_before_neb_closure,new_death_since_week_before_neb_closure,weekly_avg_change_in_avg_distance_after_neb_closure,weekly_avg_change_in_visitation_after_neb_closure,weekly_avg_change_in_encounter_after_neb_closure,statewide_stay_at_home_date,cumulative_cases_at_stay_at_home_order,cumulative_deaths_at_stay_at_home_order,new_cases_since_week_before_stay_at_home_order,new_death_since_week_before_stay_at_home_order,weekly_avg_change_in_avg_distance_after_stay_at_home_order,weekly_avg_change_in_visitation_after_stay_at_home_order,weekly_avg_change_in_encounter_after_stay_at_home_order
Ohio,Ohio,OH,"Cardinal Health, Inc.",Health care,"Trade, Transportation, and Utilities","1,028.40",662321,673078,682922,685299,689542,696088,701438,706764,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,No,No,No,,4.1,3.2,54021,20200318,90,0,86,0,-0.314845508,-0.571906514,-0.46823380299999995,20200309,3,0,3,0,-0.127424752,-0.18884919600000002,0.673041468,20200324,564,8,497,8,-0.384425497,-0.583522111,-0.507180915,20200324,564,8,497,8,-0.384425497,-0.583522111,-0.507180915
Oklahoma,Okla.,OK,NGL Energy Partners LP,Energy,Government,356.6,198108,201871,204384,205854,204458,206139,206254,207381,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,No,No,,3.3,3.3,50051,20200318,29,0,27,0,-0.219883888,-0.48787368299999995,-0.798936594,20200402,879,34,631,27,-0.400268787,-0.60764307,-0.76280932,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Oregon,Ore.,OR,"Nike, Inc.",Apparel,"Trade, Transportation, and Utilities",359.3,234832,238125,241630,244544,247562,250402,253036,255418,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,Yes,Yes,Yes,,3.3,4.7,60212,20200318,74,3,54,3,-0.251609374,-0.557216386,-0.9475085390000001,20200308,13,0,11,0,-0.130451965,-0.137968485,-0.837250872,nan,nan,nan,nan,nan,nan,nan,nan,20200323,191,5,145,4,-0.344524833,-0.60877504,-0.953984486
Pennsylvania,Pa.,PA,AmerisourceBergen Corporation,Pharmaceuticals,Education & Health Services,1307,766322,781035,790711,794604,801909,810326,817216,824603,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,No,No,No,7.0,4.7,3.4,59195,20200318,139,1,123,1,-0.363974199,-0.6426882829999999,-0.663160585,20200306,2,0,2,0,-0.052293945,-0.0773571,0.6253750339999999,20200323,644,6,563,6,-0.420140288,-0.647134549,-0.677282262,20200401,5805,74,4654,63,-0.445994669,-0.666546654,-0.611850437
Rhode Island,R.I.,RI,CVS Health Corporation,Retail pharmacy,Education & Health Services,110.7,59734,60591,60413,61612,62578,63242,63903,64441,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,Yes,Yes,Yes,,3.1,2.5,19343,20200318,33,0,28,0,-0.398603191,-0.6088495270000001,-0.120994005,20200309,3,0,1,0,-0.159617548,-0.2396382,1.972526323,nan,nan,nan,nan,nan,nan,nan,nan,20200328,239,2,173,2,-0.487591825,-0.641530537,-0.192469594
South Carolina,S.C.,SC,Michelin North America,Manufacturing,"Trade, Transportation, and Utilities",410.6,228541,232474,235528,239176,242484,245083,247711,249958,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.2,No,No,No,,2.4,3.3,63870,20200318,60,1,50,1,-0.24493974899999998,-0.506546618,-0.510154969,20200313,13,0,11,0,-0.108714336,-0.274052349,-0.019960613999999998,nan,nan,nan,nan,nan,nan,nan,nan,20200407,2417,51,1334,29,nan,nan,nan
South Dakota,S.D.,SD,Tyson Fresh Meats,Food processing,"Trade, Transportation, and Utilities",86.3,51214,51832,52382,52632,52430,53044,53692,54057,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,No,No,No,,3.4,3.4,50570,20200318,11,1,3,0,-0.29714257,-0.497304807,-0.9818112940000001,20200313,9,1,9,1,-0.244518636,-0.330805744,-0.972957726,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tennessee,Tenn.,TN,FedEx Corporation,Shipping,"Trade, Transportation, and Utilities",653.1,355119,362874,368694,369733,374250,378285,382275,385741,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,No,No,No,,3.3,3.5,56521,20200318,98,0,90,0,-0.236776895,-0.5197767,-0.520100007,20200312,18,0,17,0,-0.085979141,-0.232413393,0.160545264,20200401,2690,23,1884,20,-0.360158793,-0.576248217,-0.445590121,20200402,2869,32,1888,29,-0.396796124,-0.597779234,-0.417097447
Texas,Tex.,TX,Exxon Mobil Corporation,Energy,"Trade, Transportation, and Utilities","2,549.20",1751027,1792912,1823659,1842447,1852143,1881553,1896063,1918065,8.7,8.7,8.8,8.8,8.8,8.8,8.8,8.8,No,No,No,8.0,4.5,2.5,51340,20200318,166,2,133,2,-0.294074997,-0.5388635829999999,-0.633803845,20200313,58,0,39,0,-0.144401264,-0.326221715,-0.34967809899999996,nan,nan,nan,nan,nan,nan,nan,nan,20200402,4880,79,3337,58,-0.481058793,-0.656922074,-0.590345111
Utah,Utah,UT,Sinclair Oil Corporation,Energy,"Trade, Transportation, and Utilities",295.2,174344,177406,179586,181214,184767,187416,189809,192013,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,No,No,No,,2.5,3.4,59206,20200318,65,0,60,0,-0.302291175,-0.518431682,-0.937738933,20200306,3,0,2,0,-0.063971402,-0.053809584,-0.778803005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Vermont,Vt.,VT,NLV Financial Corporation,Life insurance,Education & Health Services,65.4,32726,33236,33393,33670,34284,34612,34973,35271,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,No,Yes,Yes,,2.4,2.6,68358,20200318,19,0,17,0,-0.453031725,-0.575667089,-0.964734065,20200313,2,0,2,0,-0.305104942,-0.38843179200000005,-0.933183792,20200325,123,8,104,8,-0.529453022,-0.629015248,-0.969626373,20200324,95,7,81,7,-0.519559993,-0.624786057,-0.96863448
Virginia,Va.,VA,General Dynamics Corporation,Defense,Professional & Business Services,779.6,523334,530306,537214,540716,546007,551848,557144,561846,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,No,No,No,,2.7,3.8,57513,20200318,78,2,68,2,-0.326815989,-0.520614541,-0.62729829,20200312,17,0,17,0,-0.182185163,-0.26390959999999997,-0.24439718100000002,nan,nan,nan,nan,nan,nan,nan,nan,20200330,1021,26,767,20,-0.406495572,-0.563549864,-0.625186112
Washington,Wash.,WA,"Amazon.com, Inc.",E-commerce,"Trade, Transportation, and Utilities",654.7,549578,562939,573226,577581,587758,596412,603772,610488,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,Yes,Yes,Yes,9.0,3.9,4.9,71535,20200318,1026,68,688,39,-0.33934142899999997,-0.564736773,-0.861179169,20200229,10,1,9,1,-0.058239400000000004,-0.044873832,-0.416308413,20200325,2585,130,1559,62,-0.453861639,-0.613833414,-0.880672826,20200323,2101,110,1307,62,-0.434601374,-0.616029713,-0.878647379
West Virginia,W.Va.,WV,Monongahela Power Company,Utilities,Government,152.1,75115,77104,78766,78766,77725,78256,78270,78507,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,No,No,No,,5.0,3.7,70979,20200318,2,0,2,0,-0.261595029,-0.552449625,-0.88869641,20200316,0,0,0,0,-0.211148127,-0.468973607,-0.85639021,20200324,39,0,38,0,-0.319469549,-0.558179954,-0.898201033,20200324,39,0,38,0,-0.319469549,-0.558179954,-0.898201033
Wisconsin,Wis.,WI,Johnson Controls International plc,Manufacturing,Manufacturing,484.2,331469,334960,337894,340853,342613,345867,348822,351922,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,No,No,No,,3.5,2.7,43469,20200318,106,0,100,0,-0.30922503100000004,-0.605981503,-0.876880193,20200312,8,0,7,0,-0.168783977,-0.319794128,-0.722781228,20200325,623,7,517,7,-0.388756457,-0.626355839,-0.885720931,20200325,623,7,517,7,-0.388756457,-0.626355839,-0.885720931
Wyoming,Wyo.,WY,Cloud Peak Energy Inc,Energy,"Trade, Transportation, and Utilities",532.8,38431,38957,39473,39613,39393,39788,39610,39794,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,No,No,No,,3.7,5.8,59305,20200318,17,0,16,0,-0.116725829,-0.5130599610000001,-0.992849124,20200313,2,0,2,0,-0.10328709900000001,-0.324508704,-0.9891573790000001,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
