state_code,travel_distance_metric,visitation_metric,encounters_metric,date_converted,intervention
DE,-0.375632961,-0.605948595,-0.419583926,20200331,1
DE,-0.373458891,-0.5765959829999999,-0.36365423700000005,20200330,1
DE,-0.524436228,-0.6843944809999999,-0.49075475700000004,20200329,1
DE,-0.51757869,-0.7314436940000001,-0.350019116,20200328,1
DE,-0.408224986,-0.631605359,-0.19742300899999998,20200327,1
DE,-0.34856825799999996,-0.611275721,-0.32364021800000004,20200326,1
DE,-0.367790561,-0.63567174,-0.44650887200000006,20200325,1
DE,-0.337414371,-0.6120329720000001,-0.39289988299999995,20200324,0
DE,-0.34111787200000004,-0.539486748,-0.207460641,20200323,0
DE,-0.428456245,-0.628095104,-0.302296195,20200322,0
DE,-0.37399717600000004,-0.669312373,-0.507184354,20200321,0
DE,-0.287280584,-0.61648043,-0.12021353800000001,20200320,0
DE,-0.23000742300000002,-0.51668268,0.016603411000000002,20200319,0
DE,-0.169963477,-0.44285238,0.080201852,20200318,0
FL,-0.568277161,-0.7104759620000001,0.217434774,20200404,1
FL,-0.485203847,-0.667904423,0.438636927,20200403,0
FL,-0.416859016,-0.619129104,0.150813251,20200402,0
FL,-0.40222672200000004,-0.557966956,0.20550840199999998,20200401,0
FL,-0.417543416,-0.584901421,-0.009764684000000001,20200331,0
FL,-0.42730213899999997,-0.599728269,-0.040295357000000004,20200330,0
FL,-0.540781463,-0.657829254,-0.21188370899999998,20200329,0
FL,-0.49839938899999997,-0.643285508,0.10659195,20200328,0
GA,-0.513433228,-0.6963643620000001,-0.49672215399999997,20200404,1
GA,-0.408276572,-0.582319138,-0.182792273,20200403,0
GA,-0.28853655100000003,-0.503669836,-0.270261625,20200402,0
GA,-0.291956934,-0.484134855,-0.37029862399999997,20200401,0
GA,-0.320484665,-0.528843215,-0.49874267,20200331,0
GA,-0.31110067399999997,-0.49321573399999996,-0.463572015,20200330,0
GA,-0.44584171100000003,-0.566110064,-0.557505178,20200329,0
GA,-0.389377456,-0.563402107,-0.33763992600000003,20200328,0
HI,-0.615870198,-0.621384707,-0.594902788,20200401,1
HI,-0.580344021,-0.610152513,-0.568616252,20200331,1
HI,-0.612537554,-0.634777295,-0.584394031,20200330,1
HI,-0.71232682,-0.70258421,-0.695995274,20200329,1
HI,-0.657792086,-0.690127402,-0.609736096,20200328,1
HI,-0.609123296,-0.654327024,-0.5340198420000001,20200327,1
HI,-0.559037321,-0.660943033,-0.584816236,20200326,1
HI,-0.42706747,-0.6115612739999999,-0.578961496,20200325,0
HI,-0.3649549,-0.573017453,-0.502176307,20200324,0
HI,-0.260129006,-0.513888488,-0.33992265899999996,20200323,0
HI,-0.26417161699999997,-0.5393454010000001,-0.43250271,20200322,0
HI,-0.41779518200000004,-0.577544163,-0.7225697879999999,20200321,0
HI,-0.36052511600000003,-0.5348760539999999,-0.42248693299999995,20200320,0
HI,-0.138881884,-0.385152516,-0.104343245,20200319,0
ID,-0.334689876,-0.514616461,-0.972751039,20200401,1
ID,-0.344795815,-0.531278946,-0.974691538,20200331,1
ID,-0.35100035,-0.5261134670000001,-0.9738078929999999,20200330,1
ID,-0.417192081,-0.58355068,-0.981730227,20200329,1
ID,-0.37750441799999995,-0.596676381,-0.972224978,20200328,1
ID,-0.354370685,-0.590396656,-0.969392125,20200327,1
ID,-0.288259022,-0.5833116389999999,-0.9740115779999999,20200326,1
ID,-0.223454282,-0.44248897200000004,-0.96385022,20200325,0
ID,-0.22239874199999998,-0.429873745,-0.96739919,20200324,0
ID,-0.25755075899999996,-0.41806177299999997,-0.966249769,20200323,0
ID,-0.25368442399999996,-0.417170695,-0.974180243,20200322,0
ID,-0.243494515,-0.502587559,-0.980780138,20200321,0
ID,-0.244274553,-0.539080949,-0.9682292640000001,20200320,0
ID,-0.18079142899999998,-0.39577448299999995,-0.9584279520000001,20200319,0
IL,-0.5102335410000001,-0.685759738,-0.574358328,20200328,1
IL,-0.410694995,-0.6518016320000001,-0.545382254,20200327,1
IL,-0.34687686,-0.641497054,-0.622307784,20200326,1
IL,-0.307111878,-0.589801159,-0.603267894,20200325,1
IL,-0.31251746399999997,-0.61426087,-0.633460838,20200324,1
IL,-0.361340449,-0.647739453,-0.65678965,20200323,1
IL,-0.522873942,-0.75257999,-0.75907164,20200322,1
IL,-0.407101899,-0.6853590559999999,-0.745255728,20200321,0
IL,-0.291178251,-0.645488993,-0.503045679,20200320,0
IL,-0.24926489999999998,-0.541128933,-0.40257941399999997,20200319,0
IL,-0.17266742100000002,-0.479925306,-0.40729331,20200318,0
IL,-0.135754721,-0.380386446,-0.24902369600000002,20200317,0
IL,-0.150312943,-0.27498375199999997,0.03736627,20200316,0
IL,-0.18074964300000002,-0.239848297,-0.081050957,20200315,0
IN,-0.277612698,-0.534784081,-0.686678378,20200401,1
IN,-0.286219331,-0.543632305,-0.701115487,20200331,1
IN,-0.303237635,-0.531177396,-0.684989297,20200330,1
